week_start,capacity_bytes,drive_type,count
2014-02-17,80026361856,HDD,2
2014-02-17,250059350016,HDD,1
2014-02-17,3000592982016,HDD,5
2014-02-17,4000787030016,HDD,47
2014-02-24,320072933376,HDD,10
2014-02-24,1000204886016,HDD,4
2014-02-24,3000592982016,HDD,22
2014-02-24,4000787030016,HDD,457
2014-03-03,160041885696,HDD,2
2014-03-03,250059350016,HDD,1
2014-03-03,320072933376,HDD,3
2014-03-03,500107862016,HDD,7
2014-03-03,2000398934016,HDD,3
2014-03-03,3000592982016,HDD,12
2014-03-03,4000787030016,HDD,455
2014-03-10,80026361856,HDD,1
2014-03-10,250059350016,HDD,1
2014-03-10,500107862016,HDD,6
2014-03-10,1000204886016,HDD,1
2014-03-10,2000398934016,HDD,2
2014-03-10,3000592982016,HDD,33
2014-03-10,4000787030016,HDD,318
2014-03-17,160041885696,HDD,1
2014-03-17,320072933376,HDD,1
2014-03-17,500107862016,HDD,4
2014-03-17,2000398934016,HDD,2
2014-03-17,3000592982016,HDD,45
2014-03-17,4000787030016,HDD,187
2014-03-24,160041885696,HDD,1
2014-03-24,500107862016,HDD,16
2014-03-24,2000398934016,HDD,2
2014-03-24,3000592982016,HDD,21
2014-03-24,4000787030016,HDD,726
2014-03-31,500107862016,HDD,9
2014-03-31,3000592982016,HDD,27
2014-03-31,4000787030016,HDD,458
2014-04-07,500107862016,HDD,3
2014-04-07,2000398934016,HDD,3
2014-04-07,3000592982016,HDD,16
2014-04-07,4000787030016,HDD,96
2014-04-14,500107862016,HDD,8
2014-04-14,2000398934016,HDD,2
2014-04-14,3000592982016,HDD,35
2014-04-14,4000787030016,HDD,501
2014-04-21,250059350016,HDD,1
2014-04-21,500107862016,HDD,2
2014-04-21,2000398934016,HDD,1
2014-04-21,3000592982016,HDD,20
2014-04-21,4000787030016,HDD,275
2014-04-28,500107862016,HDD,12
2014-04-28,3000592982016,HDD,7
2014-04-28,4000787030016,HDD,500
2014-05-05,500107862016,HDD,2
2014-05-05,1000204886016,HDD,1
2014-05-05,3000592982016,HDD,15
2014-05-05,4000787030016,HDD,94
2014-05-12,160041885696,HDD,1
2014-05-12,500107862016,HDD,8
2014-05-12,2000398934016,HDD,1
2014-05-12,3000592982016,HDD,24
2014-05-12,4000787030016,HDD,274
2014-05-19,250059350016,HDD,2
2014-05-19,500107862016,HDD,4
2014-05-19,2000398934016,HDD,1
2014-05-19,3000592982016,HDD,13
2014-05-19,4000787030016,HDD,183
2014-05-26,250059350016,HDD,1
2014-05-26,500107862016,HDD,8
2014-05-26,3000592982016,HDD,28
2014-05-26,4000787030016,HDD,498
2014-06-02,250059350016,HDD,1
2014-06-02,500107862016,HDD,8
2014-06-02,2000398934016,HDD,1
2014-06-02,3000592982016,HDD,30
2014-06-02,4000787030016,HDD,365
2014-06-09,250059350016,HDD,1
2014-06-09,500107862016,HDD,10
2014-06-09,2000398934016,HDD,3
2014-06-09,3000592982016,HDD,35
2014-06-09,4000787030016,HDD,407
2014-06-16,500107862016,HDD,14
2014-06-16,3000592982016,HDD,34
2014-06-16,4000787030016,HDD,633
2014-06-23,250059350016,HDD,1
2014-06-23,500107862016,HDD,1
2014-06-23,2000398934016,HDD,1
2014-06-23,3000592982016,HDD,26
2014-06-23,4000787030016,HDD,5
2014-06-30,250059350016,HDD,1
2014-06-30,500107862016,HDD,3
2014-06-30,3000592982016,HDD,30
2014-06-30,4000787030016,HDD,138
2014-07-07,320072933376,HDD,5
2014-07-07,500107862016,HDD,3
2014-07-07,2000398934016,HDD,1
2014-07-07,3000592982016,HDD,25
2014-07-07,4000787030016,HDD,361
2014-07-14,320072933376,HDD,1
2014-07-14,500107862016,HDD,11
2014-07-14,1500301910016,HDD,1
2014-07-14,3000592982016,HDD,27
2014-07-14,4000787030016,HDD,542
2014-07-21,320072933376,HDD,4
2014-07-21,500107862016,HDD,3
2014-07-21,1500301910016,HDD,2
2014-07-21,3000592982016,HDD,24
2014-07-21,4000787030016,HDD,232
2014-07-28,500107862016,HDD,4
2014-07-28,2000398934016,HDD,1
2014-07-28,3000592982016,HDD,20
2014-07-28,4000787030016,HDD,145
2014-07-28,6001175126016,HDD,45
2014-08-04,320072933376,HDD,3
2014-08-04,500107862016,HDD,3
2014-08-04,1000204886016,HDD,1
2014-08-04,3000592982016,HDD,14
2014-08-04,4000787030016,HDD,185
2014-08-04,6001175126016,HDD,47
2014-08-11,500107862016,HDD,21
2014-08-11,2000398934016,HDD,1
2014-08-11,3000592982016,HDD,27
2014-08-11,4000787030016,HDD,995
2014-08-18,320072933376,HDD,1
2014-08-18,500107862016,HDD,18
2014-08-18,3000592982016,HDD,4
2014-08-18,4000787030016,HDD,813
2014-08-25,320072933376,HDD,2
2014-08-25,500107862016,HDD,8
2014-08-25,2000398934016,HDD,1
2014-08-25,3000592982016,HDD,18
2014-08-25,4000787030016,HDD,370
2014-09-01,500107862016,HDD,2
2014-09-01,2000398934016,HDD,2
2014-09-01,3000592982016,HDD,10
2014-09-01,4000787030016,HDD,94
2014-09-08,500107862016,HDD,3
2014-09-08,3000592982016,HDD,4
2014-09-08,4000787030016,HDD,135
