country,value,date,fuel_type
AUSTRIA,29500.0,201504,All
BELGIUM,51423.0,201504,All
BULGARIA,1998.0,201504,All
CROATIA,3694.0,201504,All
CYPRUS,657.0,201504,All
CZECH REPUBLIC,20568.0,201504,All
DENMARK,16949.0,201504,All
ESTONIA,1984.0,201504,All
FINLAND,9633.0,201504,All
FRANCE,170765.0,201504,All
GERMANY,291395.0,201504,All
GREECE,7801.0,201504,All
HUNGARY,6737.0,201504,All
IRELAND,9461.0,201504,All
ITALY,148807.0,201504,All
LATVIA,1238.0,201504,All
LITHUANIA,1747.0,201504,All
LUXEMBURG,5046.0,201504,All
NETHERLANDS,27148.0,201504,All
POLAND,28526.0,201504,All
PORTUGAL,15014.0,201504,All
ROMANIA,5482.0,201504,All
SLOVAKIA,6532.0,201504,All
SLOVENIA,5348.0,201504,All
SPAIN,82715.0,201504,All
SWEDEN,30536.0,201504,All
UNITED KINGDOM,185778.0,201504,All
ICELAND,1305.0,201504,All
NORWAY,12782.0,201504,All
SWITZERLAND,28982.0,201504,All
AUSTRIA,26517.0,201505,All
BELGIUM,40502.0,201505,All
BULGARIA,1995.0,201505,All
CROATIA,4911.0,201505,All
CYPRUS,843.0,201505,All
CZECH REPUBLIC,18113.0,201505,All
DENMARK,17036.0,201505,All
ESTONIA,1712.0,201505,All
FINLAND,9114.0,201505,All
FRANCE,143771.0,201505,All
GERMANY,256385.0,201505,All
GREECE,9070.0,201505,All
HUNGARY,5867.0,201505,All
IRELAND,6920.0,201505,All
ITALY,146582.0,201505,All
LATVIA,1174.0,201505,All
LITHUANIA,1467.0,201505,All
LUXEMBURG,4231.0,201505,All
NETHERLANDS,28049.0,201505,All
POLAND,27186.0,201505,All
PORTUGAL,18343.0,201505,All
ROMANIA,5927.0,201505,All
SLOVAKIA,6596.0,201505,All
SLOVENIA,5388.0,201505,All
SPAIN,94030.0,201505,All
SWEDEN,29458.0,201505,All
UNITED KINGDOM,198706.0,201505,All
ICELAND,2614.0,201505,All
NORWAY,12036.0,201505,All
SWITZERLAND,27422.0,201505,All
AUSTRIA,30462.0,201506,All
BELGIUM,49426.0,201506,All
BULGARIA,2540.0,201506,All
CROATIA,4647.0,201506,All
CYPRUS,908.0,201506,All
