food_code,name,group,protein,fat,carbs,cals,fibre,g,g2,short_name
11-886,"Flour, wheat, white, plain, soft",AA,9.1,1.4,80.9,352,4,A,Cereals,White flour
13-829,Garam masala,H,15.6,15.1,45.2,379,0,H,Herbs and spices,Garam masala
13-244,"Garlic, raw",DG,7.9,0.6,16.3,98,0,D,Vegetables,Garlic
17-640,"Ghee, butter",OF,0.1,97.6,0,878,0,O,Fats and oils,Ghee
13-246,"Gherkins, pickled, drained",DG,0.9,0.1,2.6,14,1.5,D,Vegetables,Gherkins
13-890,"Ginger, fresh",H,1.8,0.8,8.1,44,2,H,Herbs and spices,Ginger
14-100,"Gooseberries, cooking, raw",FA,1.1,0.4,3,19,,F,Fruit,Gooseberries
14-322,"Grapes, green",FA,0.7,0.2,15.2,62,1.2,F,Fruit,Grapes
14-874,"Hazelnuts, kernel only",GA,14.1,63.5,6,650,6.9,G,Nuts and seeds,Hazelnuts
17-050,Honey,SC,0.4,0,76.4,288,0,S,Sugars and snacks,Honey
17-073,"Jam, fruit with edible seeds",SC,0.6,0,69,261,N,S,Sugars and snacks,Jam
14-293,"Kiwi fruit, flesh and seeds",FA,1.1,0.5,10.6,49,N,F,Fruit,Kiwi fruit
18-475,"Lamb, lean only, raw, average",MAE,20.2,8,0,153,0,M,Meat,Lamb
13-466,"Leeks, raw",DG,1.6,0.5,2.9,22,0,D,Vegetables,Leeks
14-337,Lemon peel,FA,1.5,0.3,0,0,10.6,F,Fruit,Lemon peel
14-129,"Lemons, peeled, flesh only",FA,0.8,0.3,2.2,14,,F,Fruit,Lemons
13-089,"Lentils, green and brown, whole, dried, raw",DB,24.3,1.9,48.8,297,,D,Vegetables,Green/brown lentils
13-091,"Lentils, red, split, dried, raw",DB,23.8,1.3,56.3,318,0,D,Vegetables,Red lentils
17-078,Marmalade,SC,0.1,0,69.5,261,0.5,S,Sugars and snacks,Marmalade
14-354,"Melon, flesh only, average",FA,0.5,0.1,5.5,24,1.3,F,Fruit,Melon
12-313,"Milk, semi-skimmed, pasteurised, average",BAH,3.5,1.7,4.7,46,0,B,Milk,Semi-skimmed milk
12-596,"Milk, whole, pasteurised, average",BAK,3.4,3.6,4.6,63,0,B,Milk,Whole milk
13-836,"Mint, fresh",H,3.8,0.7,5.3,43,0,H,Herbs and spices,Mint
13-886,Mixed curry spices,H,13.2,13.3,0,0,0,H,Herbs and spices,Mixed curry spices
17-059,Molasses,SC,0,0.1,68.8,266,NA,S,Sugars and snacks,Molasses
13-505,"Mushrooms, white, raw",DG,1,0.2,0.3,7,0.7,D,Vegetables,Mushrooms
17-365,"Mustard, wholegrain",WY,8.2,10.2,4.2,140,0,W,"Soups, sauces, and misc",Mustard
13-877,"Nutmeg, ground",H,5.8,36.3,0,0,20.8,H,Herbs and spices,Nutmeg
17-031,"Oil, coconut",OC,0,99.9,0,899,0,O,Fats and oils,Coconut oil
17-038,"Oil, olive",OC,0,99.9,0,899,0,O,Fats and oils,Olive oil
17-040,"Oil, peanut (groundnut)",OC,0,99.9,0,899,0,O,Fats and oils,Groundnut oil
17-041,"Oil, rapeseed",OC,0,99.9,0,899,0,O,Fats and oils,Rapeseed oil
17-043,"Oil, sesame",OC,0.2,99.7,0,898,0,O,Fats and oils,Sesame oil
17-045,"Oil, sunflower",OC,0,99.9,0,899,0,O,Fats and oils,Sunflower oil
17-686,"Oil, vegetable, average",OC,0,99.9,0,899,0,O,Fats and oils,Vegetable oil
14-340,"Olives, green, in brine, drained, flesh and skin",FA,0.9,11,0,103,0,F,Fruit,Green olives
13-499,"Onions, raw",DG,1,0.1,8,35,2.2,D,Vegetables,Onions
14-327,"Oranges, flesh only",FA,0.8,0.2,8.2,36,1.2,F,Fruit,Oranges
13-878,"Oregano, dried, ground",H,9,4.3,0,0,42.5,H,Herbs and spices,Oregano
13-879,Paprika,H,14.1,12.9,0,0,34.9,H,Herbs and spices,Paprika
13-844,"Parsley, fresh",H,3,1.3,2.7,34,0,H,Herbs and spices,Parsley
13-312,"Parsnip, raw",DG,1.8,1.1,12.5,64,4.7,D,Vegetables,Parsnip
11-716,"Pasta, white, dried, raw",AD,11.3,1.6,75.6,343,0,A,Cereals,Pasta
11-856,"Pastry, filo, retail, cooked",AO,10,3.8,77.1,363,4.5,A,Cereals,Filo pastry
14-299,"Peaches, raw, flesh and skin",FA,1,0.1,7.6,33,N,F,Fruit,Peaches
14-892,"Peanut butter, smooth",GA,22.8,51.8,13.1,607,6.6,G,Nuts and seeds,Peanut butter
14-365,"Pears, average, raw, flesh only",F,0.3,0.1,11.3,44,2.7,F,Fruit,Pears
13-122,"Peas, mange-tout, raw",DF,3.6,0.2,4.2,32,0,D,Vegetables,Mange-tout
13-438,"Peas, raw",DF,6.9,1.5,11.3,83,5.3,D,Vegetables,Peas
13-141,"Peas, split, dried, raw",DF,22.1,2.4,58.2,328,,D,Vegetables,Split peas
13-880,"Pepper, black",H,10.4,3.3,0,0,25.3,H,Herbs and spices,Pepper
13-524,"Pepper, capsicum, red, raw",DG,0.8,0.2,4.3,21,2.2,D,Vegetables,Red pepper
13-526,"Pepper, capsicum, yellow, raw",DG,0.8,0.2,4.6,23,2.2,D,Vegetables,Yellow pepper
13-847,"Pepper, cayenne, ground",H,12,17.3,31.7,318,,H,Herbs and spices,Cayenne pepper
13-316,"Peppers, capsicum, chilli, green, raw",DG,2.9,0.6,0.7,20,0,D,Vegetables,Green chilli
13-317,"Peppers, capsicum, chilli, red, raw",DG,1.8,0.3,4.2,26,,D,Vegetables,Red chilli
13-318,"Peppers, capsicum, green, raw",DG,0.8,0.3,2.6,15,0,D,Vegetables,Green pepper
14-839,"Pine nuts, kernel only",GA,14,68.6,4,688,0,G,Nuts and seeds,Pine nuts
14-208,"Pineapple, raw, flesh only",FA,0.4,0.2,10.1,41,N,F,Fruit,Pineapple
14-300,"Plums, average, raw, flesh and skin",FA,0.6,0.1,8.8,36,N,F,Fruit,Plums
14-226,"Pomegranate, flesh and pips",FA,1.3,0.2,11.8,51,0,F,Fruit,Pomegranate
18-225,"Pork, fillet, raw, lean and fat",MAG,22,6.5,0,147,,M,Meat,Pork
11-788,"Porridge oats, unfortified",A,10.9,8.1,70.7,381,7.8,A,Cereals,Porridge oats
13-618,"Potatoes, new and salad, flesh only, raw",DAE,1.7,0.1,16.1,68,1.8,D,Vegetables,New potatoes
13-489,"Potatoes, old, raw, flesh only",DAM,1.9,0.1,19.6,82,2,D,Vegetables,Potatoes
16-387,"Prawns, king, raw",JK,17.6,0.7,0,77,0,J,Fish,Prawns
14-231,"Prunes, flesh and skin",FA,2.8,0.5,38.4,160,,F,Fruit,Prunes
14-842,Pumpkin seeds,GA,24.4,45.6,15.2,565,0,G,Nuts and seeds,Pumpkin seeds
14-843,"Quinoa, raw",GA,13.8,5,55.7,309,7,G,Nuts and seeds,Quinoa
13-330,"Radish, red, raw, flesh and skin",DG,0.7,0.2,1.9,12,0,D,Vegetables,Radish
11-857,"Rice, white, basmati, raw",AC,8.1,0.5,83.7,351,1.1,A,Cereals,Basmati rice
13-892,"Rosemary, fresh",H,1.4,4.4,13.5,99,12.4,H,Herbs and spices,Rosemary
13-852,Saffron,H,11.4,5.9,61.5,310,NA,H,Herbs and spices,Saffron
13-853,"Sage, fresh",H,3.9,4.6,15.6,119,,H,Herbs and spices,Sage
16-356,"Salmon, farmed, flesh only, raw",J,20.4,15,0,217,0.2,J,Fish,Salmon
17-367,Salt,WY,0,0,0,0,0,W,"Soups, sauces, and misc",Salt
13-342,"Shallots, raw",DG,1.5,0.2,3.3,20,,D,Vegetables,Shallots
17-721,"Soy sauce, light and dark varieties",WCN,3,0,17.9,79,0,W,"Soups, sauces, and misc",Soy sauce
13-521,"Spinach, baby, raw",DG,2.6,0.6,0.2,16,1,D,Vegetables,Baby spinach
13-572,"Spinach, mature, raw",DG,2.8,0.8,1.6,25,0,D,Vegetables,Spinach
13-352,"Spring onions, bulbs and tops, raw",DG,2,0.5,3,23,0,D,Vegetables,Spring onions
13-355,"Squash, butternut, raw",DG,1.1,0.1,8.3,36,,D,Vegetables,Butternut squash
17-727,"Stock cubes, vegetable",WY,13.5,17.3,0,0,1.8,W,"Soups, sauces, and misc",Stock cubes
17-681,"Stock, chicken, ready made, retail",WY,2.3,0.2,0.2,12,0.3,W,"Soups, sauces, and misc",Chicken stock
14-324,"Strawberries, raw",FA,0.6,0.5,6.1,30,3.8,F,Fruit,Strawberries
17-060,"Sugar, brown",SC,0.1,0,101.3,380,0,S,Sugars and snacks,Brown sugar
17-062,"Sugar, icing",SC,Tr,0,104.9,393,0,S,Sugars and snacks,Icing sugar
17-063,"Sugar, white",SC,0,0,105,394,0,S,Sugars and snacks,White sugar
