Entity,Code,Fertility,Population
Turkey,TUR,2.072,78271472
Turkmenistan,TKM,2.931,5565284
Uganda,UGA,5.682,40144870
Ukraine,UKR,1.528,44657704
United Arab Emirates,ARE,1.765,9154302
United Kingdom,GBR,1.876,65397080
United States,USA,1.868,319929162
United States Virgin Islands,VIR,2.242,104977
Uruguay,URY,2.007,3431552
Uzbekistan,UZB,2.313,30976021
Vanuatu,VUT,3.312,264603
Venezuela,VEN,2.341,31155134
Vietnam,VNM,1.958,93571567
Western Sahara,ESH,2.522,526216
Yemen,YEM,4.104,26916207
Zambia,ZMB,5.041,16100587
Zimbabwe,ZWE,3.836,15777451
