Word_CDI,Translation,Freq_NoWaC,Freq_CDS
'gaffel','fork',1296,4
'glass','glass',23884,2
'hammer','hammer',1726,6
'håndkle','towel',2908,13
'kam','comb',3526,4
'kamera','camera',104401,5
'kasse','box',17380,8
'kjøkkenrull','roll of paper towels',9,1
'klokke','clock',82457,21
'kniv','knife',10132,1
'kopp','cup',8944,21
'kost','broom',16399,4
'krukke','jar',1312,1
'krus','cup',870,1
'lampe','lamp',4685,3
'lommebok','wallet',7743,1
'lys','light',74510,13
'medisin','medicine',33309,1
'nøkler','keys',12675,6
'papir','paper',24874,13
'penger','money',211410,6
'plante','plant',20413,2
'pute','pillow',5131,3
'radio','radio',22688,1
'saks','scissors',1961,3
'såpe','soap',2991,5
'sekk','bag',11416,3
'serviett','napkin',769,2
'skål','bowl',2121,1
'skje','spoon',5034,36
'søppel','rubbish',8093,6
'søppelbøtte','rubbish bin',519,1
'støvsuger','vacuum cleaner',1203,8
'tallerken','plate',2631,4
'tannbørste','toothbrush',972,8
'telefon','telephone',91612,20
'teppe','blanket/carpet',8255,3
'veske','bag',7606,13
'bad','bathroom',18277,9
'badekar','bathtub',2807,2
'balkong','balcony',3835,2
'barneseng','cot',146,1
'barnestol','high chair',308,1
'bord','table',35222,43
'do','toilet',32705,32
'dør','door',55036,26
'dusj','shower',10612,3
'garasje','garage',6483,7
'gyngestol','rocking chair',188,1
'kjeller','basement',11422,6
'kjøkken','kitchen',21854,17
'kjøleskap','refrigerator',7337,14
'komfyr','stove',1449,4
'lekegrind','play pen',602,2
'ovn','oven',7130,5
'PC','computer',41778,1
'potte','potty',1184,3
'rom','room',87748,16
'seng','bed',32461,47
'skap','closet',11310,19
'skuff','drawer',1146,6
'sofa','couch',14687,5
'soverom','bedroom',11370,1
'stol','chair',17754,40
'stue','living room',19733,8
'terrasse','terrace',4770,1
'tørketrommel','dryer',767,4
'trapp','stairs',12647,1
'TV','TV',58063,9
'vask','sink',6876,6
'vaskemaskin','washing machine',2887,2
'vindu','window',30472,31
'badebasseng','pool',268,2
'bakgård','backyard',2581,1
'blomst','flower',16242,30
'fjell','mountain',34010,1
'flagg','flag',10441,1
'fortau','sidewalk',2704,1
'gress','grass',10258,2
'gressklipper','lawn mower',657,6
'himmel','sky',27605,1
'huske','swing',14753,128
'kjelke','sled',312,6
'måne','moon',8110,16
'pinne','stick',5990,2
'regn','rain',19954,1
'sandkasse','sandbox',1061,5
'sklie','slide',430,2
'skyer','clouds',9652,3
'snø','snow',25916,4
'snømann','snowman',695,2
'sol','sun',47810,14
'spade','spade',3268,22
'steiner','rocks',20532,5
'stige','ladder',4002,3
'stjerner','stars',37996,12
'tak','roof',80784,11
'trampoline','trampoline',698,1
'tre','tree',21156,47
'vann','water',128365,61
'vannslange','hose',218,1
'vei','street',242681,36
'vind','wind',26281,1
'bensinstasjon','gas station',4120,1
'bondegård','farm',753,5
'butikk','store',63212,3
'byen','downtown',287890,10
'campingplass','camping site',3425,1
'dyrehage','zoo',781,2
'fest','party',32675,2
'hage','yard',19445,6
'hjem','home',25005,7
'hus','house',111408,32
'jobb','work',203898,4
'kino','cinema',25031,1
'kirke','church',75007,1
'landet','the countryside',#N/A,#N/A
'lekeplass','playground',2281,3
'park','park',14131,19
'sirkus','circus',3908,1
'skogen','the woods',42463,1
'skole','school',250915,28
'strand','beach',21420,2
'svømmehall','swimming pool',1887,1
'ut','outside',1371838,181
'baby','baby',16739,33
'barn','child',438387,21
'barnets navn','child's own name',#N/A,317
'barnevaktens navn','babysitter's name',#N/A,#N/A
'bestefar','grandfather',6554,1
'bestemor','grandmother',8557,2
'bonde','farmer',26702,2
'brannmann','fireman',1764,2
'bror','brother',34283,1
'cowboy','cowboy',1734,8
'dame','lady',59469,22
'doktor','doctor',3664,5
'farfar','(paternal) grandfather',2063,1
'farmor','(paternal) grandmother',1905,1
'folk','people',384521,2
'gutt','boy',134986,37
'helsesøster','nurse',4949,1
'jente','girl',159199,30
'klovn','clown',2462,7
'lærer','teacher',74910,12
'mamma','mommy',36751,171
'mann','man',315581,18
'mennesker','people',289792,9
'morfar','(maternal) grandfather',1736,1
'mormor','(maternal) grandmother',2860,1
'navn på kjæledyr','pet's name',#N/A,#N/A
'oldefar','great-grandfather',1234,1
'oldemor','great-grandmother',1194,1
'onkel','uncle',9753,6
'pappa/far','daddy',24689,118
'politi','police',89536,7
'postbud','mailman',375,4
'søster','sister',20446,1
'tante','aunt',8489,6
'venn','friend',240567,8
'venninne','(female) friend',19939,2
'”kommer og tar deg” lek',''gonna get you' game',73,1
'bade','bathe',8123,16
'frokost','breakfast',15287,1
'gå på do','go to the bathroom',1252,1
'god natt','good night',2520,1
'ha det','bye',467,6
'hallo','hello',3699,61
'handle','shop',109640,2
'hei','hi',64086,74
'hysj','hush',353,1
'ikke','not',5202279,893
'ja','yes',158496,3291
'jo','yes',589490,120
'klappe kake','patty cake',3,1
'kveldsmat','supper',1590,1
'Borte! (lek hvor ansikt gjemmes og plutselig vises)','peek-a-boo',5,27
'lunsj','lunch',12285,1
'middag','dinner',27049,6
'nei','no',136554,470
'ringe',call (on phone)',45240,23
'snurre rundt','turn around',565,1
'sovetid','nap time',55,1
'sååå stor','this big!',46,1
'takk','thank you',106589,106
'vær så snill','please',3787,1
'vent','wait',9678,10
'vil','wanna/want to',1848716,138
'jobbe','work',192166,1
'bite','bite',17348,7
'blåse','blow',19567,16
'bråke','brawl',2476,22
'bygge','build',172286,19
'bære','carry',44847,10
'danse','dance',21390,20
'dele','share',111880,7
'drikke','drink',43156,27
'dytte','push',7857,6
'elske','love',3733,1
'fange','catch',26887,13
'falle','fall',108342,28
'finne','find',551966,136
'forte seg','hurry',152,7
'få','get',2396707,287
'gi','give',891875,19
'gjemme','hide',12187,15
'gjøre seg ferdig','finish',625,1
'gli','slide',17619,1
'gråte','cry',13366,7
'gå','walk',1297942,312
'ha','have',8429287,1174
'hate','hate',25992,1
'helle','pour',8838,5
'hente','get',95263,42
'hjelpe','help',144856,34
'holde','hold',372390,43
'holde øye med','watch',818,1
'hoppe','jump',31778,24
'huske','swing',#N/A,#N/A
'høre','hear',233345,56
'høre etter','listen',803,1
'følge etter','follow',5656,1
'kaste','throw',68891,29
'kile','tickle',1701,3
'kjøpe','buy',255029,13
'kjøre','drive',145844,89
'klappe','clap',5766,3
'klatre','climb',10674,15
'klemme','hug',7732,4
'kle på','dress',2010,1
'koste',cost/sweep',#N/A,#N/A
'kysse','kiss',11868,2
'lage mat','cook',3671,1
'late som','pretend',5519,1
'putte','put',14269,38
'legge','put',629383,63
'leke','toy',26869,69
'lese','read',264653,77
'like','like',153782,28
'lukke','close',18704,20
'løpe','run',48219,49
'male','paint',23491,41
'mate','feed',4581,2
'miste','loose',87531,13
'reparere','repair',6683,8
'passe','fit',89523,38
'plaske','splash',756,1
'prøve','try',223301,67
'puste','breathe',11258,7
'ri','ride',22478,8
'riste','shake',8566,2
'rive av','rip',1250,1
'rydde','tidy',22236,9
'røre','touch',12537,4
'se','look',1566932,933
'se på','look at',152869,1
'sette','put',416323,79
'si','say',1464840,387
'sitte','sit',224252,193
'skjære','cut',10296,5
'skli','slip',6534,5
'skrive','write',648363,3
'skynde seg','hurry',940,7
'slikke','lick',8204,2
'slutte','finish',68314,3
'slå','hit',186927,30
'smake','taste',23745,9
'smile','smile',29058,2
'snakke','talk',184454,29
'sove','sleep',40794,51
'sparke','kick',17049,9
'spille','play',306904,41
'spise','eat',104732,115
'stikke','sting',36577,6
'stoppe','stop',72269,6
'stå','stand',523907,145
'synge','sing',47677,32
'svømme','swim',7226,4
'søle','spill',1123,2
'ta','take',1419661,296
'tegne','draw',25212,114
'tenke','think',311411,42
'treffe','meet',56006,2
'dra','go',148743,5
'tørke','dry',9544,16
'vaske','wash',19396,10
'vente','wait',129451,8
'slå seg','hurt oneself',9539,1
'vise','show',470932,63
'velte','overturn',5760,16
'være glad i','be fond of',9388,1
'våkne','wake',23206,2
'ødelegge','break',51755,1
'ønske','wish',328796,2
'åpne','open',111606,16
'bedre','better',349680,1
'blå','blue',31961,32
'bløt','soft/wet',3020,2
'borte','away',56747,56
'bra','good',354111,64
'bråkete','noisy',614,2
'brun','brown',16214,4
'dårlig','bad',227001,3
'ekkelt','yucky',8620,4
'fin','fine',240979,241
'forsiktig','careful',32764,10
'først','first',178986,37
'fort','fast',94174,25
'frekk','cheeky',8977,2
'full','full',211567,8
'gammel','old',342030,18
'glad','happy',93604,14
'god','good',1920301,182
'grønn','green',43341,18
'gul','yellow',30966,23
'hard','hard',103135,13
'høy','high',310687,29
'hvit','white',70380,9
'kald','cold',45169,13
'klissete','sticky',1051,1
'lang','long',517593,35
'lei seg','sad',2569,1
'liten','small',828607,144
'mørkt','dark',44729,3
'ny','new',1167123,21
'ødelagt','broken',18472,10
'oransje','orange',3395,1
'pen','pretty',47091,15
'rar','nice',60473,105
'redd','scared',53509,11
'ren','clean',91341,3
'rød','red',68611,44
'sen','late',177291,2
'sint','mad',13869,24
'sist','last',420404,15
