year,colour,rgb,is_trans,total
2006,Very Light Bluish Gray,#E6E3E0,FALSE,89
2006,Trans-Pink,#E4ADC8,TRUE,84
2006,Bright Light Orange,#F8BB3D,FALSE,79
2006,Bright Pink,#E4ADC8,FALSE,76
2006,Dark Gray,#6D6E5C,FALSE,70
2006,[No Color],#05131D,FALSE,66
2006,Copper,#AE7A59,FALSE,65
2006,Pearl Dark Gray,#575857,FALSE,64
2006,Brown,#583927,FALSE,59
2006,Sand Green,#A0BCAC,FALSE,59
2006,Trans-Green,#84B68D,TRUE,58
2006,Trans-Medium Blue,#CFE2F7,TRUE,58
2006,Speckle Black-Silver,#000000,FALSE,56
2006,Dark Pink,#C870A0,FALSE,55
2006,Chrome Silver,#E0E0E0,FALSE,54
2006,Sand Blue,#6074A1,FALSE,54
2006,Light Flesh,#F6D7B3,FALSE,51
2006,Magenta,#923978,FALSE,51
2006,Dark Flesh,#7C503A,FALSE,44
2006,Bright Green,#4B9F4A,FALSE,39
2006,Dark Purple,#3F3691,FALSE,33
2006,Dark Tan,#958A73,FALSE,33
2006,Aqua,#B3D7D1,FALSE,30
2006,Chrome Gold,#BBA53D,FALSE,27
2006,Trans-Bright Green,#D9E4A7,TRUE,26
2006,Glitter Trans-Dark Pink,#DF6695,TRUE,21
2006,Dark Orange,#A95500,FALSE,18
2006,Light Yellow,#FBE696,FALSE,16
2006,Metallic Gold,#DBAC34,FALSE,16
2006,Pink,#FC97AC,FALSE,14
2006,Glow In Dark Opaque,#D4D5C9,FALSE,13
2006,Trans-Very Lt Blue,#C1DFF0,TRUE,13
2006,Pearl White,#F2F3F2,FALSE,11
2006,Speckle DBGray-Silver,#635F61,FALSE,11
2006,Royal Blue,#4C61DB,FALSE,10
2006,Trans-Purple,#A5A5CB,TRUE,10
2006,Bright Light Blue,#9FC3E9,FALSE,9
2006,Purple,#81007B,FALSE,7
2006,Speckle Black-Copper,#000000,FALSE,7
2006,Flat Dark Gold,#B48455,FALSE,6
2006,Bright Light Yellow,#FFF03A,FALSE,5
2006,Light Blue,#B4D2E3,FALSE,3
2006,Pearl Light Gold,#DCBC81,FALSE,3
2006,Chrome Pink,#AA4D8E,FALSE,2
2006,Glow In Dark Trans,#BDC6AD,TRUE,2
2006,Medium Orange,#FFA70B,FALSE,2
2006,Chrome Blue,#6C96BF,FALSE,1
2006,Dark Blue-Violet,#2032B0,FALSE,1
2006,Earth Orange,#FA9C1C,FALSE,1
2006,Light Lime,#D9E4A7,FALSE,1
2006,Light Orange,#F9BA61,FALSE,1
2006,Light Pink,#FECCCF,FALSE,1
2006,Very Light Orange,#F3CF9B,FALSE,1
2007,Black,#05131D,FALSE,14953
2007,Light Bluish Gray,#A0A5A9,FALSE,13403
2007,Dark Bluish Gray,#6C6E68,FALSE,10945
2007,Red,#C91A09,FALSE,7376
2007,White,#FFFFFF,FALSE,7355
2007,Yellow,#F2CD37,FALSE,4252
2007,Blue,#0055BF,FALSE,3659
2007,Tan,#E4CD9E,FALSE,1804
2007,Reddish Brown,#582A12,FALSE,1457
2007,Green,#237841,FALSE,1213
2007,Dark Red,#720E0F,FALSE,869
2007,Dark Blue,#0A3463,FALSE,601
2007,Pearl Light Gray,#9CA3A8,FALSE,586
2007,Trans-Dark Blue,#0020A0,TRUE,574
2007,Lime,#BBE90B,FALSE,527
2007,Orange,#FE8A18,FALSE,494
2007,Trans-Red,#C91A09,TRUE,483
2007,Trans-Clear,#FCFCFC,TRUE,465
2007,Medium Blue,#5A93DB,FALSE,416
2007,Trans-Yellow,#F5CD2F,TRUE,341
2007,Trans-Neon Green,#F8F184,TRUE,250
2007,Trans-Orange,#F08F1C,TRUE,245
2007,Trans-Green,#84B68D,TRUE,179
2007,Trans-Black,#635F52,TRUE,164
2007,Trans-Light Blue,#AEEFEC,TRUE,158
2007,Dark Green,#184632,FALSE,125
2007,Pearl Gold,#AA7F2E,FALSE,116
2007,Trans-Neon Orange,#FF800D,TRUE,113
2007,Metallic Silver,#A5A9B4,FALSE,107
2007,Bright Green,#4B9F4A,FALSE,86
2007,Dark Pink,#C870A0,FALSE,84
2007,Flat Silver,#898788,FALSE,73
2007,Glitter Trans-Dark Pink,#DF6695,TRUE,62
2007,Trans-Dark Pink,#DF6695,TRUE,60
2007,Trans-Medium Blue,#CFE2F7,TRUE,58
2007,Pearl Dark Gray,#575857,FALSE,47
2007,Bright Light Orange,#F8BB3D,FALSE,42
2007,Copper,#AE7A59,FALSE,41
2007,Sand Green,#A0BCAC,FALSE,39
2007,Dark Tan,#958A73,FALSE,36
2007,Metallic Gold,#DBAC34,FALSE,34
2007,Dark Orange,#A95500,FALSE,32
2007,Glow In Dark Opaque,#D4D5C9,FALSE,32
2007,Chrome Gold,#BBA53D,FALSE,31
2007,Chrome Silver,#E0E0E0,FALSE,30
2007,Light Flesh,#F6D7B3,FALSE,29
2007,[No Color],#05131D,FALSE,28
2007,Bright Pink,#E4ADC8,FALSE,14
2007,Magenta,#923978,FALSE,14
2007,Dark Purple,#3F3691,FALSE,12
2007,Royal Blue,#4C61DB,FALSE,11
2007,Speckle Black-Silver,#000000,FALSE,7
2007,Bright Light Blue,#9FC3E9,FALSE,5
2007,Chrome Pink,#AA4D8E,FALSE,4
2007,Flesh,#D09168,FALSE,3
2007,Trans-Purple,#A5A5CB,TRUE,3
2007,Light Lime,#D9E4A7,FALSE,2
2007,Medium Orange,#FFA70B,FALSE,2
2007,Milky White,#FFFFFF,FALSE,2
2007,Sand Blue,#6074A1,FALSE,2
2007,Brown,#583927,FALSE,1
2007,Dark Gray,#6D6E5C,FALSE,1
2007,Flat Dark Gold,#B48455,FALSE,1
2007,Glitter Trans-Clear,#FFFFFF,TRUE,1
2007,Glow In Dark Trans,#BDC6AD,TRUE,1
2007,Light Gray,#9BA19D,FALSE,1
2007,Light Pink,#FECCCF,FALSE,1
2008,Black,#05131D,FALSE,16098
2008,White,#FFFFFF,FALSE,13288
2008,Light Bluish Gray,#A0A5A9,FALSE,12620
2008,Dark Bluish Gray,#6C6E68,FALSE,9617
2008,Red,#C91A09,FALSE,5165
2008,Blue,#0055BF,FALSE,4536
2008,Yellow,#F2CD37,FALSE,3556
2008,Tan,#E4CD9E,FALSE,2439
2008,Reddish Brown,#582A12,FALSE,1943
2008,Dark Blue,#0A3463,FALSE,1482
2008,Green,#237841,FALSE,1344
2008,Orange,#FE8A18,FALSE,1109
2008,Dark Red,#720E0F,FALSE,970
2008,Trans-Clear,#FCFCFC,TRUE,907
2008,Pearl Light Gray,#9CA3A8,FALSE,758
2008,Trans-Red,#C91A09,TRUE,674
2008,Lime,#BBE90B,FALSE,636
2008,Medium Blue,#5A93DB,FALSE,577
2008,Dark Green,#184632,FALSE,500
2008,Trans-Neon Green,#F8F184,TRUE,387
2008,Sand Green,#A0BCAC,FALSE,348
2008,Metallic Silver,#A5A9B4,FALSE,316
2008,Trans-Dark Blue,#0020A0,TRUE,296
2008,Dark Brown,#352100,FALSE,279
2008,Trans-Yellow,#F5CD2F,TRUE,266
2008,Trans-Orange,#F08F1C,TRUE,247
2008,Trans-Black,#635F52,TRUE,242
2008,Dark Tan,#958A73,FALSE,211
2008,Trans-Light Blue,#AEEFEC,TRUE,197
2008,Trans-Neon Orange,#FF800D,TRUE,175
2008,Trans-Green,#84B68D,TRUE,159
2008,Dark Pink,#C870A0,FALSE,117
2008,Pearl Gold,#AA7F2E,FALSE,103
2008,Light Flesh,#F6D7B3,FALSE,94
2008,Bright Green,#4B9F4A,FALSE,88
2008,Bright Pink,#E4ADC8,FALSE,81
2008,Magenta,#923978,FALSE,72
2008,Metallic Gold,#DBAC34,FALSE,72
2008,Copper,#AE7A59,FALSE,60
2008,[No Color],#05131D,FALSE,59
2008,Pearl Dark Gray,#575857,FALSE,56
2008,Dark Orange,#A95500,FALSE,50
2008,Speckle Black-Silver,#000000,FALSE,41
2008,Bright Light Orange,#F8BB3D,FALSE,39
2008,Dark Purple,#3F3691,FALSE,39
2008,Glow In Dark Trans,#BDC6AD,TRUE,26
2008,Flat Silver,#898788,FALSE,24
2008,Glitter Trans-Dark Pink,#DF6695,TRUE,21
2008,Trans-Dark Pink,#DF6695,TRUE,20
2008,Chrome Gold,#BBA53D,FALSE,17
2008,Sand Blue,#6074A1,FALSE,15
2008,Chrome Silver,#E0E0E0,FALSE,9
2008,Milky White,#FFFFFF,FALSE,7
2008,Trans-Medium Blue,#CFE2F7,TRUE,5
2008,Trans-Purple,#A5A5CB,TRUE,4
2008,Bright Light Blue,#9FC3E9,FALSE,3
2008,Medium Orange,#FFA70B,FALSE,3
2008,Unknown,#0033B2,FALSE,2
2008,Bright Light Yellow,#FFF03A,FALSE,1
2008,Royal Blue,#4C61DB,FALSE,1
2009,Black,#05131D,FALSE,15811
2009,Light Bluish Gray,#A0A5A9,FALSE,12158
2009,Dark Bluish Gray,#6C6E68,FALSE,8526
2009,White,#FFFFFF,FALSE,8523
2009,Red,#C91A09,FALSE,7414
2009,Yellow,#F2CD37,FALSE,4994
2009,Blue,#0055BF,FALSE,4876
2009,Tan,#E4CD9E,FALSE,3348
2009,Reddish Brown,#582A12,FALSE,2786
2009,Green,#237841,FALSE,1452
2009,Lime,#BBE90B,FALSE,1383
2009,Orange,#FE8A18,FALSE,1162
2009,Dark Red,#720E0F,FALSE,1106
2009,Trans-Clear,#FCFCFC,TRUE,921
2009,Dark Blue,#0A3463,FALSE,873
2009,Trans-Red,#C91A09,TRUE,556
2009,Dark Tan,#958A73,FALSE,518
2009,Dark Green,#184632,FALSE,484
2009,Pearl Light Gray,#9CA3A8,FALSE,385
2009,Trans-Orange,#F08F1C,TRUE,360
2009,Pearl Gold,#AA7F2E,FALSE,339
2009,Trans-Yellow,#F5CD2F,TRUE,320
2009,Medium Blue,#5A93DB,FALSE,305
2009,Trans-Dark Blue,#0020A0,TRUE,277
2009,Dark Brown,#352100,FALSE,218
2009,Trans-Black,#635F52,TRUE,205
2009,Trans-Green,#84B68D,TRUE,176
2009,Trans-Neon Orange,#FF800D,TRUE,174
2009,Metallic Silver,#A5A9B4,FALSE,146
2009,Trans-Neon Green,#F8F184,TRUE,135
2009,Trans-Light Blue,#AEEFEC,TRUE,115
2009,Bright Light Orange,#F8BB3D,FALSE,91
2009,Light Flesh,#F6D7B3,FALSE,85
2009,Very Light Bluish Gray,#E6E3E0,FALSE,78
2009,Bright Pink,#E4ADC8,FALSE,66
2009,Metallic Gold,#DBAC34,FALSE,52
2009,Bright Green,#4B9F4A,FALSE,50
2009,[No Color],#05131D,FALSE,48
2009,Dark Pink,#C870A0,FALSE,48
2009,Pearl Dark Gray,#575857,FALSE,37
2009,Chrome Gold,#BBA53D,FALSE,35
2009,Sand Green,#A0BCAC,FALSE,35
2009,Flat Silver,#898788,FALSE,27
2009,Dark Orange,#A95500,FALSE,24
2009,Trans-Purple,#A5A5CB,TRUE,22
2009,Trans-Dark Pink,#DF6695,TRUE,20
2009,Chrome Silver,#E0E0E0,FALSE,17
2009,Magenta,#923978,FALSE,17
2009,Copper,#AE7A59,FALSE,11
2009,Trans-Medium Blue,#CFE2F7,TRUE,11
2009,Flesh,#D09168,FALSE,10
2009,Light Gray,#9BA19D,FALSE,10
2009,Royal Blue,#4C61DB,FALSE,9
2009,Bright Light Yellow,#FFF03A,FALSE,8
2009,Speckle Black-Silver,#000000,FALSE,8
2009,Sand Blue,#6074A1,FALSE,7
2009,Bright Light Blue,#9FC3E9,FALSE,6
2009,Chrome Black,#1B2A34,FALSE,3
2009,Dark Purple,#3F3691,FALSE,3
2009,Glow In Dark Opaque,#D4D5C9,FALSE,2
2010,Black,#05131D,FALSE,15560
2010,Light Bluish Gray,#A0A5A9,FALSE,12776
2010,White,#FFFFFF,FALSE,12537
2010,Dark Bluish Gray,#6C6E68,FALSE,10121
2010,Red,#C91A09,FALSE,7474
2010,Tan,#E4CD9E,FALSE,5595
2010,Blue,#0055BF,FALSE,5329
2010,Yellow,#F2CD37,FALSE,4937
2010,Reddish Brown,#582A12,FALSE,3000
2010,Green,#237841,FALSE,2460
2010,Lime,#BBE90B,FALSE,1843
2010,Orange,#FE8A18,FALSE,1649
2010,Trans-Clear,#FCFCFC,TRUE,1056
2010,Medium Blue,#5A93DB,FALSE,939
2010,Trans-Red,#C91A09,TRUE,843
2010,Dark Red,#720E0F,FALSE,754
2010,Pearl Gold,#AA7F2E,FALSE,697
2010,Dark Blue,#0A3463,FALSE,664
2010,Dark Tan,#958A73,FALSE,612
2010,Dark Green,#184632,FALSE,450
2010,Dark Brown,#352100,FALSE,438
2010,Trans-Yellow,#F5CD2F,TRUE,415
2010,Trans-Orange,#F08F1C,TRUE,367
2010,Trans-Light Blue,#AEEFEC,TRUE,366
2010,Dark Pink,#C870A0,FALSE,361
2010,Trans-Dark Blue,#0020A0,TRUE,335
2010,Trans-Black,#635F52,TRUE,299
2010,Medium Dark Flesh,#CC702A,FALSE,294
2010,Pearl Light Gray,#9CA3A8,FALSE,255
2010,Bright Green,#4B9F4A,FALSE,220
2010,Trans-Neon Orange,#FF800D,TRUE,200
2010,Trans-Green,#84B68D,TRUE,188
2010,Bright Pink,#E4ADC8,FALSE,167
2010,Maersk Blue,#3592C3,FALSE,166
2010,Sand Green,#A0BCAC,FALSE,163
2010,Dark Orange,#A95500,FALSE,151
2010,Magenta,#923978,FALSE,149
2010,Metallic Silver,#A5A9B4,FALSE,148
2010,Flat Silver,#898788,FALSE,140
2010,Trans-Dark Pink,#DF6695,TRUE,110
2010,Light Flesh,#F6D7B3,FALSE,104
2010,Dark Purple,#3F3691,FALSE,102
2010,Bright Light Orange,#F8BB3D,FALSE,93
2010,Trans-Purple,#A5A5CB,TRUE,82
2010,Trans-Bright Green,#D9E4A7,TRUE,66
2010,Trans-Neon Green,#F8F184,TRUE,64
2010,Pearl Dark Gray,#575857,FALSE,61
2010,[No Color],#05131D,FALSE,43
2010,Chrome Silver,#E0E0E0,FALSE,37
2010,Chrome Gold,#BBA53D,FALSE,36
2010,Glitter Trans-Dark Pink,#DF6695,TRUE,30
2010,Metallic Gold,#DBAC34,FALSE,21
2010,Bright Light Blue,#9FC3E9,FALSE,18
2010,Bright Light Yellow,#FFF03A,FALSE,11
2010,Flesh,#D09168,FALSE,11
2010,Sand Blue,#6074A1,FALSE,7
2010,Trans-Medium Blue,#CFE2F7,TRUE,6
2010,Very Light Bluish Gray,#E6E3E0,FALSE,6
2010,Dark Flesh,#7C503A,FALSE,5
2010,Medium Azure,#36AEBF,FALSE,4
2010,Royal Blue,#4C61DB,FALSE,4
2010,Speckle Black-Silver,#000000,FALSE,3
2010,Glow In Dark Opaque,#D4D5C9,FALSE,2
2010,Speckle Black-Gold,#000000,FALSE,2
2010,Glow In Dark Trans,#BDC6AD,TRUE,1
2010,Light Gray,#9BA19D,FALSE,1
2010,Unknown,#0033B2,FALSE,1
2011,Black,#05131D,FALSE,15572
2011,Light Bluish Gray,#A0A5A9,FALSE,12814
2011,Dark Bluish Gray,#6C6E68,FALSE,8917
2011,White,#FFFFFF,FALSE,8868
2011,Red,#C91A09,FALSE,6007
2011,Reddish Brown,#582A12,FALSE,3877
2011,Blue,#0055BF,FALSE,3615
2011,Yellow,#F2CD37,FALSE,3592
2011,Tan,#E4CD9E,FALSE,3186
2011,Dark Red,#720E0F,FALSE,1989
2011,Green,#237841,FALSE,1417
2011,Trans-Clear,#FCFCFC,TRUE,1134
2011,Dark Tan,#958A73,FALSE,1059
2011,Pearl Gold,#AA7F2E,FALSE,868
2011,Lime,#BBE90B,FALSE,801
2011,Orange,#FE8A18,FALSE,798
2011,Trans-Red,#C91A09,TRUE,613
2011,Medium Blue,#5A93DB,FALSE,505
2011,Dark Blue,#0A3463,FALSE,500
2011,Dark Purple,#3F3691,FALSE,475
2011,Dark Green,#184632,FALSE,465
2011,Trans-Yellow,#F5CD2F,TRUE,376
2011,Trans-Dark Blue,#0020A0,TRUE,374
2011,Dark Brown,#352100,FALSE,356
2011,Trans-Light Blue,#AEEFEC,TRUE,329
2011,Trans-Orange,#F08F1C,TRUE,296
2011,Flat Silver,#898788,FALSE,290
2011,Sand Green,#A0BCAC,FALSE,261
2011,Maersk Blue,#3592C3,FALSE,238
2011,Sand Blue,#6074A1,FALSE,220
2011,Dark Orange,#A95500,FALSE,218
2011,[No Color],#05131D,FALSE,207
2011,Trans-Neon Orange,#FF800D,TRUE,182
2011,Trans-Black,#635F52,TRUE,174
2011,Pearl Dark Gray,#575857,FALSE,167
2011,Trans-Green,#84B68D,TRUE,165
2011,Bright Green,#4B9F4A,FALSE,149
2011,Bright Pink,#E4ADC8,FALSE,134
2011,Trans-Neon Green,#F8F184,TRUE,132
2011,Metallic Silver,#A5A9B4,FALSE,123
2011,Light Flesh,#F6D7B3,FALSE,112
2011,Bright Light Orange,#F8BB3D,FALSE,80
2011,Light Aqua,#ADC3C0,FALSE,67
2011,Trans-Medium Blue,#CFE2F7,TRUE,56
2011,Pearl Light Gray,#9CA3A8,FALSE,50
2011,Chrome Gold,#BBA53D,FALSE,49
2011,Metallic Gold,#DBAC34,FALSE,39
2011,Dark Azure,#078BC9,FALSE,38
2011,Medium Dark Flesh,#CC702A,FALSE,35
2011,Magenta,#923978,FALSE,29
2011,Brown,#583927,FALSE,28
2011,Glow In Dark Trans,#BDC6AD,TRUE,25
2011,Dark Pink,#C870A0,FALSE,21
2011,Chrome Silver,#E0E0E0,FALSE,19
2011,Speckle Black-Silver,#000000,FALSE,18
2011,Bright Light Blue,#9FC3E9,FALSE,17
2011,Trans-Bright Green,#D9E4A7,TRUE,14
2011,Trans-Purple,#A5A5CB,TRUE,12
2011,Bright Light Yellow,#FFF03A,FALSE,9
2011,Trans-Dark Pink,#DF6695,TRUE,6
2011,Light Green,#C2DAB8,FALSE,3
2011,Royal Blue,#4C61DB,FALSE,3
2011,Speckle Black-Gold,#000000,FALSE,3
2011,Copper,#AE7A59,FALSE,2
2011,Flesh,#D09168,FALSE,2
2011,Glow In Dark Opaque,#D4D5C9,FALSE,1
2011,Lavender,#E1D5ED,FALSE,1
2011,Light Gray,#9BA19D,FALSE,1
2011,Milky White,#FFFFFF,FALSE,1
2011,Unknown,#0033B2,FALSE,1
2011,Very Light Bluish Gray,#E6E3E0,FALSE,1
2012,Light Bluish Gray,#A0A5A9,FALSE,16249
2012,Black,#05131D,FALSE,15051
2012,Dark Bluish Gray,#6C6E68,FALSE,10461
2012,White,#FFFFFF,FALSE,9185
2012,Red,#C91A09,FALSE,6011
2012,Reddish Brown,#582A12,FALSE,4247
2012,Yellow,#F2CD37,FALSE,4020
2012,Blue,#0055BF,FALSE,3991
2012,Tan,#E4CD9E,FALSE,3292
2012,Green,#237841,FALSE,2158
2012,Lime,#BBE90B,FALSE,1457
2012,Dark Tan,#958A73,FALSE,1398
2012,Dark Red,#720E0F,FALSE,1379
2012,Orange,#FE8A18,FALSE,1243
2012,Trans-Clear,#FCFCFC,TRUE,1156
2012,Medium Blue,#5A93DB,FALSE,946
2012,Pearl Gold,#AA7F2E,FALSE,922
2012,Dark Green,#184632,FALSE,812
2012,Dark Blue,#0A3463,FALSE,802
2012,Dark Brown,#352100,FALSE,725
2012,Dark Orange,#A95500,FALSE,647
2012,Trans-Red,#C91A09,TRUE,626
2012,Sand Green,#A0BCAC,FALSE,551
2012,Trans-Orange,#F08F1C,TRUE,528
2012,Flat Silver,#898788,FALSE,465
2012,Bright Pink,#E4ADC8,FALSE,464
2012,Bright Green,#4B9F4A,FALSE,459
2012,Trans-Light Blue,#AEEFEC,TRUE,428
2012,Trans-Black,#635F52,TRUE,342
2012,Dark Pink,#C870A0,FALSE,332
2012,Trans-Yellow,#F5CD2F,TRUE,325
2012,Pearl Dark Gray,#575857,FALSE,306
2012,Dark Purple,#3F3691,FALSE,283
2012,Trans-Dark Blue,#0020A0,TRUE,269
2012,Medium Dark Flesh,#CC702A,FALSE,257
2012,Bright Light Orange,#F8BB3D,FALSE,230
2012,Trans-Neon Green,#F8F184,TRUE,229
2012,Medium Lavender,#AC78BA,FALSE,224
2012,[No Color],#05131D,FALSE,217
2012,Light Flesh,#F6D7B3,FALSE,211
2012,Medium Azure,#36AEBF,FALSE,211
2012,Trans-Green,#84B68D,TRUE,208
2012,Metallic Silver,#A5A9B4,FALSE,163
2012,Trans-Neon Orange,#FF800D,TRUE,163
2012,Olive Green,#9B9A5A,FALSE,88
2012,Magenta,#923978,FALSE,84
2012,Light Aqua,#ADC3C0,FALSE,82
2012,Trans-Medium Blue,#CFE2F7,TRUE,67
2012,Trans-Bright Green,#D9E4A7,TRUE,60
2012,Bright Light Blue,#9FC3E9,FALSE,58
2012,Glow in Dark White,#D9D9D9,FALSE,50
2012,Trans-Dark Pink,#DF6695,TRUE,38
2012,Bright Light Yellow,#FFF03A,FALSE,37
2012,Trans-Purple,#A5A5CB,TRUE,35
2012,Sand Blue,#6074A1,FALSE,34
2012,Pearl Light Gray,#9CA3A8,FALSE,27
2012,Brown,#583927,FALSE,23
2012,Lavender,#E1D5ED,FALSE,22
2012,Metallic Gold,#DBAC34,FALSE,16
2012,Chrome Gold,#BBA53D,FALSE,14
2012,Chrome Silver,#E0E0E0,FALSE,6
2012,Speckle Black-Silver,#000000,FALSE,6
2012,Yellowish Green,#DFEEA5,FALSE,5
2012,Dark Azure,#078BC9,FALSE,4
2012,Unknown,#0033B2,FALSE,3
2012,Copper,#AE7A59,FALSE,2
2012,Earth Orange,#FA9C1C,FALSE,1
2012,Glitter Trans-Dark Pink,#DF6695,TRUE,1
2012,Purple,#81007B,FALSE,1
2012,Royal Blue,#4C61DB,FALSE,1
2013,Black,#05131D,FALSE,20807
2013,Light Bluish Gray,#A0A5A9,FALSE,15599
2013,White,#FFFFFF,FALSE,11380
2013,Dark Bluish Gray,#6C6E68,FALSE,11262
2013,Red,#C91A09,FALSE,6779
2013,Blue,#0055BF,FALSE,4866
2013,Reddish Brown,#582A12,FALSE,4835
2013,Tan,#E4CD9E,FALSE,4689
2013,Yellow,#F2CD37,FALSE,4493
2013,Dark Tan,#958A73,FALSE,2748
2013,Green,#237841,FALSE,2178
2013,Dark Red,#720E0F,FALSE,1653
2013,Lime,#BBE90B,FALSE,1461
2013,Orange,#FE8A18,FALSE,1440
2013,Trans-Light Blue,#AEEFEC,TRUE,1280
2013,Trans-Clear,#FCFCFC,TRUE,1171
2013,Pearl Gold,#AA7F2E,FALSE,984
2013,Dark Brown,#352100,FALSE,919
2013,Trans-Red,#C91A09,TRUE,843
2013,Flat Silver,#898788,FALSE,837
2013,Dark Blue,#0A3463,FALSE,801
2013,Dark Green,#184632,FALSE,761
2013,Trans-Black,#635F52,TRUE,730
2013,Bright Light Orange,#F8BB3D,FALSE,655
2013,Olive Green,#9B9A5A,FALSE,560
2013,Trans-Orange,#F08F1C,TRUE,515
2013,Trans-Yellow,#F5CD2F,TRUE,465
2013,Medium Blue,#5A93DB,FALSE,447
2013,Trans-Dark Blue,#0020A0,TRUE,444
2013,Bright Pink,#E4ADC8,FALSE,426
2013,Bright Green,#4B9F4A,FALSE,380
2013,Dark Pink,#C870A0,FALSE,369
2013,Chrome Gold,#BBA53D,FALSE,328
2013,Pearl Dark Gray,#575857,FALSE,301
2013,Dark Azure,#078BC9,FALSE,291
2013,Dark Purple,#3F3691,FALSE,261
2013,Trans-Neon Green,#F8F184,TRUE,247
2013,Medium Azure,#36AEBF,FALSE,242
2013,Dark Orange,#A95500,FALSE,237
2013,Metallic Silver,#A5A9B4,FALSE,227
2013,Medium Dark Flesh,#CC702A,FALSE,215
2013,Light Flesh,#F6D7B3,FALSE,203
2013,[No Color],#05131D,FALSE,166
2013,Trans-Green,#84B68D,TRUE,165
2013,Magenta,#923978,FALSE,164
2013,Medium Lavender,#AC78BA,FALSE,145
2013,Trans-Dark Pink,#DF6695,TRUE,115
2013,Trans-Neon Orange,#FF800D,TRUE,107
2013,Trans-Purple,#A5A5CB,TRUE,106
2013,Trans-Bright Green,#D9E4A7,TRUE,71
2013,Sand Green,#A0BCAC,FALSE,68
2013,Bright Light Yellow,#FFF03A,FALSE,67
2013,Bright Light Blue,#9FC3E9,FALSE,58
2013,Trans-Medium Blue,#CFE2F7,TRUE,48
2013,Metallic Gold,#DBAC34,FALSE,28
2013,Lavender,#E1D5ED,FALSE,27
2013,Chrome Silver,#E0E0E0,FALSE,23
2013,Light Aqua,#ADC3C0,FALSE,19
2013,Sand Blue,#6074A1,FALSE,14
2013,Pearl Light Gray,#9CA3A8,FALSE,8
2013,Glow in Dark White,#D9D9D9,FALSE,6
2013,Light Lime,#D9E4A7,FALSE,5
2013,Very Light Bluish Gray,#E6E3E0,FALSE,3
2013,Unknown,#0033B2,FALSE,2
2013,Aqua,#B3D7D1,FALSE,1
2013,Dark Flesh,#7C503A,FALSE,1
2013,Speckle Black-Silver,#000000,FALSE,1
2014,Black,#05131D,FALSE,23056
2014,Light Bluish Gray,#A0A5A9,FALSE,19806
2014,Dark Bluish Gray,#6C6E68,FALSE,13708
2014,White,#FFFFFF,FALSE,11169
2014,Reddish Brown,#582A12,FALSE,6289
2014,Red,#C91A09,FALSE,6262
2014,Blue,#0055BF,FALSE,5700
2014,Tan,#E4CD9E,FALSE,5078
2014,Yellow,#F2CD37,FALSE,4337
2014,Green,#237841,FALSE,2034
2014,Orange,#FE8A18,FALSE,1829
2014,Trans-Light Blue,#AEEFEC,TRUE,1793
2014,Pearl Gold,#AA7F2E,FALSE,1624
2014,Flat Silver,#898788,FALSE,1539
2014,Lime,#BBE90B,FALSE,1467
2014,Trans-Clear,#FCFCFC,TRUE,1466
2014,Dark Tan,#958A73,FALSE,1327
2014,Trans-Red,#C91A09,TRUE,1239
2014,Dark Red,#720E0F,FALSE,1058
2014,Dark Brown,#352100,FALSE,814
2014,Dark Blue,#0A3463,FALSE,809
2014,Olive Green,#9B9A5A,FALSE,807
2014,Medium Azure,#36AEBF,FALSE,795
2014,Bright Pink,#E4ADC8,FALSE,734
2014,Dark Green,#184632,FALSE,703
2014,Trans-Orange,#F08F1C,TRUE,693
2014,Bright Light Orange,#F8BB3D,FALSE,692
2014,Trans-Yellow,#F5CD2F,TRUE,621
2014,Medium Blue,#5A93DB,FALSE,566
2014,Medium Dark Flesh,#CC702A,FALSE,512
2014,Dark Pink,#C870A0,FALSE,501
2014,Bright Green,#4B9F4A,FALSE,495
2014,Dark Purple,#3F3691,FALSE,484
2014,Magenta,#923978,FALSE,453
2014,Trans-Dark Blue,#0020A0,TRUE,443
2014,Dark Orange,#A95500,FALSE,389
2014,Trans-Black,#635F52,TRUE,386
2014,Trans-Neon Orange,#FF800D,TRUE,377
2014,Medium Lavender,#AC78BA,FALSE,353
2014,Sand Green,#A0BCAC,FALSE,296
2014,Pearl Dark Gray,#575857,FALSE,268
2014,Trans-Bright Green,#D9E4A7,TRUE,226
2014,Trans-Green,#84B68D,TRUE,209
2014,Light Flesh,#F6D7B3,FALSE,199
2014,Metallic Silver,#A5A9B4,FALSE,190
2014,Trans-Neon Green,#F8F184,TRUE,172
2014,Sand Blue,#6074A1,FALSE,167
2014,Dark Azure,#078BC9,FALSE,158
2014,Bright Light Yellow,#FFF03A,FALSE,121
2014,Bright Light Blue,#9FC3E9,FALSE,94
2014,Glow in Dark White,#D9D9D9,FALSE,79
2014,Light Aqua,#ADC3C0,FALSE,75
2014,Trans-Dark Pink,#DF6695,TRUE,74
2014,Lavender,#E1D5ED,FALSE,59
2014,[No Color],#05131D,FALSE,50
2014,Flesh,#D09168,FALSE,32
2014,Trans-Medium Blue,#CFE2F7,TRUE,32
2014,Trans-Purple,#A5A5CB,TRUE,21
2014,Chrome Silver,#E0E0E0,FALSE,20
2014,Chrome Gold,#BBA53D,FALSE,18
2014,Yellowish Green,#DFEEA5,FALSE,17
