"Singapore","Parliament","100"
"Slovakia","National Council","150"
"Slovenia","National Assembly","90"
"Solomon Islands","National Parliament","50"
"Somalia","House of the People","275"
"South Africa","National Assembly","397"
"South Sudan","Transitional National Legislative Assembly","383"
"Spain","Congress of Deputies","350"
"Sri Lanka","Parliament","225"
"Suriname","National Assembly","51"
"Sweden","Parliament","349"
"Switzerland","National Council","200"
"Syrian Arab Republic","People's Assembly","250"
"Tajikistan","House of Representatives","63"
"Thailand","House of Representatives","500"
"Timor-Leste","National Parliament","65"
"Togo","National Assembly","91"
"Tonga","Legislative Assembly","27"
"Trinidad and Tobago","House of Representatives","42"
"Tunisia","Assembly of People's Representatives","217"
"Turkey","Grand National Assembly of Turkey","596"
"Turkmenistan","Assembly","124"
"Tuvalu","Parliament of Tuvalu","16"
"Uganda","Parliament","459"
"Ukraine","Parliament","424"
"United Arab Emirates","Federal National Council","40"
"United Kingdom","House of Commons","650"
"United Republic of Tanzania","National Assembly","393"
"United States of America","House of Representatives","431"
"Uruguay","House of Representatives","99"
"Uzbekistan","Legislative Chamber","150"
"Vanuatu","Parliament","52"
"Venezuela (Bolivarian Republic of)","National Assembly","167"
"Viet Nam","National Assembly","494"
"Yemen","House of Representatives","301"
"Zambia","National Assembly","167"
"Zimbabwe","National Assembly","270"
