"Source: Parline database on national parliaments (https://data.ipu.org).","",""
"Copyright: Inter-Parliamentary Union. Terms of use: https://www.ipu.org/terms-use","",""
"Field name: Percentage of women","",""
"Reference year: 2012","",""
"Exported on: 2019-12-29","",""
"","",""
"Country","Chamber","Percentage of women"
"Afghanistan","House of the People","27.71"
"Algeria","National People's Assembly","31.6"
"Andorra","General Council","50"
"Angola","National Assembly","34.09"
"Antigua and Barbuda","House of Representatives","10.53"
"Argentina","Chamber of Deputies","37.35"
"Armenia","National Assembly","10.69"
"Australia","House of Representatives","24.67"
"Austria","National Council","27.87"
"Azerbaijan","National Assembly","16"
"Bahamas","House of Assembly","13.16"
"Bahrain","Council of Representatives","10"
"Bangladesh","Parliament","19.71"
"Barbados","House of Assembly","10"
"Belarus","House of Representatives","26.36"
"Belgium","House of Representatives","39.33"
"Belize","House of Representatives","3.13"
"Benin","National Assembly","9.640000000000001"
"Bhutan","National Assembly","8.51"
"Bolivia (Plurinational State of)","Chamber of Deputies","22.31"
"Bosnia and Herzegovina","House of Representatives","21.43"
"Botswana","National Assembly","7.94"
"Brazil","Chamber of Deputies","8.58"
"Bulgaria","National Assembly","20.83"
"Burkina Faso","National Assembly","15.75"
"Burundi","National Assembly","30.19"
"Cabo Verde","National Assembly","20.83"
"Cambodia","National Assembly","16.26"
"Cameroon","National Assembly","13.89"
"Canada","House of Commons","24.68"
"Central African Republic","National Assembly","11.4"
"Chad","National Assembly","14.89"
"Chile","Chamber of Deputies","14.17"
"China","National People's Congress","21.33"
"Colombia","House of Representatives","12.65"
"Comoros","Assembly of the Union","3.03"
"Congo","National Assembly","7.35"
"Costa Rica","Legislative Assembly","38.6"
"Côte d'Ivoire","National Assembly","10.24"
"Croatia","Croatian Parliament","21.19"
"Cuba","National Assembly of the People's Power","43.16"
"Cyprus","House of Representatives","10.71"
"Czech Republic","Chamber of Deputies","22"
"Democratic People's Republic of Korea","Supreme People's Assembly","15.67"
"Democratic Republic of the Congo","National Assembly","8.94"
"Denmark","The Danish Parliament","39.11"
"Djibouti","National Assembly","13.85"
"Dominica","House of Assembly","12.5"
"Dominican Republic","Chamber of Deputies","20.77"
"Ecuador","National Assembly","32.26"
"Egypt","House of Representatives","1.97"
"El Salvador","Legislative Assembly","26.19"
"Equatorial Guinea","Chamber of Deputies","6"
"Eritrea","National Assembly","20.95"
"Estonia","The Estonian Parliament","18.81"
"Eswatini","House of Assembly","13.85"
"Ethiopia","House of Peoples' Representatives","27.79"
"Finland","Parliament","42.5"
"France","National Assembly","26.86"
"Gabon","National Assembly","13.27"
"Gambia (The)","National Assembly","7.55"
"Georgia","Parliament","12"
"Germany","German Bundestag","32.8"
"Ghana","Parliament","10.91"
"Greece","Hellenic Parliament","21"
"Grenada","House of Representatives","13.33"
"Guatemala","Congress of the Republic","13.29"
"Guinea","National Assembly","19.3"
"Guinea-Bissau","People's National Assembly","10"
"Guyana","Parliament of the Co-operative Republic of Guyana","31.34"
"Haiti","Chamber of Deputies","4.21"
"Honduras","National Congress","17.97"
"Hungary","National Assembly","9.07"
"Iceland","Parliament","42.86"
"India","House of the People","10.83"
"Indonesia","House of Representatives","18.21"
"Iran (Islamic Republic of)","Islamic Parliament of Iran","3.1"
"Iraq","Council of Representatives of Iraq","25.23"
"Ireland","House of Representatives","15.06"
"Israel","Parliament","17.5"
"Italy","Chamber of Deputies","21.27"
"Jamaica","House of Representatives","12.7"
"Japan","House of Representatives","7.92"
"Jordan","House of Representatives","10.83"
"Kazakhstan","House of Representatives","24.3"
"Kenya","National Assembly","9.380000000000001"
"Kiribati","House of Assembly","8.699999999999999"
"Kuwait","National Assembly","6.15"
"Kyrgyzstan","Supreme Council","23.33"
"Lao People's Democratic Republic","National Assembly","25"
"Latvia","Parliament","21"
"Lebanon","National Assembly","3.13"
"Lesotho","National Assembly","25"
"Liberia","House of Representatives","10.96"
"Libya","House of Representatives","16.5"
"Liechtenstein","Diet","24"
"Lithuania","Parliament","24.46"
"Luxembourg","Chamber of Deputies","25"
