"Source: Parline database on national parliaments (https://data.ipu.org).","",""
"Copyright: Inter-Parliamentary Union. Terms of use: https://www.ipu.org/terms-use","",""
"Field name: Percentage of women","",""
"Reference year: 1946","",""
"Exported on: 2019-12-30","",""
"","",""
"Country","Chamber","Percentage of women"
"Argentina","Senate","0"
"Australia","Senate","5.56"
"Austria","Federal Council","0"
"Belgium","Senate","2.99"
"Brazil","Federal Senate","0"
"Canada","Senate","2.11"
"Chile","Senate","0"
"Dominican Republic","Senate","0"
"France","Senate","6.69"
"Haiti","Senate","0"
"Jordan","Senate","0"
"Netherlands","Senate","4"
"Philippines","Senate","0"
"United States of America","Senate","0"
"Uruguay","Senate","0"
