"Source: Parline database on national parliaments (https://data.ipu.org).","",""
"Copyright: Inter-Parliamentary Union. Terms of use: https://www.ipu.org/terms-use","",""
"Field name: Current number of members","",""
"Reference year: 1973","",""
"Exported on: 2019-12-30","",""
"","",""
"Country","Chamber","Current number of members"
"Argentina","Senate","69"
"Australia","Senate","60"
"Austria","Federal Council","51"
"Bahamas","Senate","16"
"Barbados","Senate","21"
"Belgium","Senate","178"
"Brazil","Federal Senate","66"
"Cambodia","Senate","40"
"Canada","Senate","95"
"Chile","Senate","50"
"Colombia","Senate","118"
"Dominican Republic","Senate","27"
"Ethiopia","House of the Federation","125"
"France","Senate","283"
"Grenada","Senate","13"
"India","Council of States","243"
"Ireland","Senate","60"
"Italy","Senate","322"
"Jamaica","Senate","21"
"Japan","House of Councillors","251"
"Jordan","Senate","30"
"Malaysia","Senate","54"
"Mexico","Senate","60"
"Netherlands","Senate","75"
"Pakistan","Senate","45"
"Paraguay","Senate","30"
"Philippines","Senate","8"
"South Africa","National Council of Provinces","55"
"Switzerland","Council of States","44"
"Trinidad and Tobago","Senate","24"
"United States of America","Senate","100"
