"Source: Parline database on national parliaments (https://data.ipu.org).","",""
"Copyright: Inter-Parliamentary Union. Terms of use: https://www.ipu.org/terms-use","",""
"Field name: Percentage of women","",""
"Reference year: 2018","",""
"Exported on: 2019-12-30","",""
"","",""
"Country","Chamber","Percentage of women"
"Afghanistan","House of Elders","23.53"
"Algeria","Council of the Nation","6.82"
"Antigua and Barbuda","Senate","52.94"
"Argentina","Senate","41.67"
"Australia","Senate","39.47"
"Austria","Federal Council","36.07"
"Bahamas","Senate","43.75"
"Bahrain","Shura Council","22.5"
"Barbados","Senate","38.1"
"Belarus","Council of the Republic","30.36"
"Belgium","Senate","43.33"
"Belize","Senate","15.38"
"Bhutan","National Council","16"
"Bolivia (Plurinational State of)","Chamber of Senators","47.22"
"Bosnia and Herzegovina","House of Peoples","13.33"
"Brazil","Federal Senate","14.81"
"Burundi","Senate","46.15"
"Cambodia","Senate","17.74"
"Cameroon","Senate","26"
"Canada","Senate","46.67"
"Chile","Senate","23.26"
"Colombia","Senate","20.37"
"Congo","Senate","18.84"
"Côte d'Ivoire","Senate","12.12"
"Czech Republic","Senate","16.05"
"Democratic Republic of the Congo","Senate","4.63"
"Dominican Republic","Senate","9.380000000000001"
"Equatorial Guinea","Senate","15.28"
"Eswatini","Senat","23.33"
"Ethiopia","House of the Federation","32.03"
"France","Senate","32.18"
"Gabon","Senate","17.65"
"Germany","Federal Council","39.13"
"Grenada","Senate","30.77"
"Haiti","Senate","3.57"
"India","Council of States","11.48"
"Ireland","Senate","30"
"Italy","Senate","34.38"
"Jamaica","Senate","23.81"
"Japan","House of Councillors","20.75"
"Jordan","Senate","15.38"
"Kazakhstan","Senate","10.64"
"Kenya","Senate","30.88"
"Lesotho","Senate","21.88"
"Liberia","The Liberian Senate","10"
"Madagascar","Senate","20.63"
"Malaysia","Senate","19.4"
"Mexico","Senate","49.22"
"Morocco","House of Councillors","11.67"
"Myanmar","House of Nationalities","12.05"
"Namibia","National Council","23.81"
"Nepal","National Assembly","37.29"
"Netherlands","Senate","36"
"Nigeria","Senate","6.42"
"Oman","State Council","16.47"
"Pakistan","Senate","19.23"
"Palau","Senate","15.38"
"Paraguay","Senate","20"
"Philippines","Senate","25"
"Poland","Senate","14"
"Romania","Senate","13.97"
"Russian Federation","Council of the Federation","18.24"
"Rwanda","Senate","38.46"
"Saint Lucia","Senate","27.27"
"Slovenia","National Council","10"
"Somalia","Upper House","24.07"
"South Africa","National Council of Provinces","35.19"
"South Sudan","Council of States","12"
"Spain","Senate","36.84"
"Sudan","Council of States","26.76"
"Switzerland","Council of States","15.22"
"Tajikistan","National Assembly","21.88"
"Trinidad and Tobago","Senate","35.48"
"United Kingdom","House of Lords","26.36"
"United States of America","Senate","25"
"Uruguay","Senate","25.81"
"Uzbekistan","Senate","17"
"Yemen","Consultative Council","2.7"
"Zimbabwe","Senate","43.75"
