"Source: Parline database on national parliaments (https://data.ipu.org).","",""
"Copyright: Inter-Parliamentary Union. Terms of use: https://www.ipu.org/terms-use","",""
"Field name: Percentage of women","",""
"Reference year: 2001","",""
"Exported on: 2019-12-28","",""
"","",""
"Country","Chamber","Percentage of women"
"Algeria","National People's Assembly","3.16"
"Andorra","General Council","7.14"
"Angola","National Assembly","9.550000000000001"
"Antigua and Barbuda","House of Representatives","5.26"
"Argentina","Chamber of Deputies","30.74"
"Armenia","National Assembly","3.05"
"Australia","House of Representatives","25.33"
"Austria","National Council","26.78"
"Azerbaijan","National Assembly","10.48"
"Bahamas","House of Assembly","15"
"Bangladesh","Parliament","2"
"Barbados","House of Assembly","10.71"
"Belarus","House of Representatives","10.31"
"Belgium","House of Representatives","23.33"
"Belize","House of Representatives","6.9"
"Benin","National Assembly","6.02"
"Bhutan","National Assembly","0"
"Bolivia (Plurinational State of)","Chamber of Deputies","11.54"
"Bosnia and Herzegovina","House of Representatives","7.14"
"Botswana","National Assembly","17.02"
"Brazil","Chamber of Deputies","5.65"
"Bulgaria","National Assembly","26.25"
"Burkina Faso","National Assembly","5.61"
"Burundi","National Assembly","12.35"
"Cabo Verde","National Assembly","11.11"
"Cambodia","National Assembly","8.199999999999999"
"Cameroon","National Assembly","5.56"
"Canada","House of Commons","20.6"
"Central African Republic","National Assembly","6.42"
"Chad","National Assembly","2.4"
"Chile","Chamber of Deputies","12.5"
"China","National People's Congress","21.82"
"Colombia","House of Representatives","11.8"
"Comoros","Assembly of the Union","0"
"Costa Rica","Legislative Assembly","19.3"
"Côte d'Ivoire","National Assembly","8.52"
"Croatia","Croatian Parliament","20.53"
"Cuba","National Assembly of the People's Power","27.62"
"Cyprus","House of Representatives","10.71"
"Czech Republic","Chamber of Deputies","15"
"Democratic People's Republic of Korea","Supreme People's Assembly","20.09"
"Democratic Republic of the Congo","National Assembly","5.01"
"Denmark","The Danish Parliament","37.99"
"Djibouti","National Assembly","0"
"Dominica","House of Assembly","18.75"
"Dominican Republic","Chamber of Deputies","16.11"
"Ecuador","National Assembly","17.36"
"Egypt","House of Representatives","2.86"
"El Salvador","Legislative Assembly","9.52"
"Equatorial Guinea","Chamber of Deputies","5"
"Eritrea","National Assembly","20.95"
"Estonia","The Estonian Parliament","17.82"
"Eswatini","House of Assembly","3.08"
"Ethiopia","House of Peoples' Representatives","7.68"
"Fiji","Parliament","7.04"
"Finland","Parliament","37"
"France","National Assembly","10.92"
"Gabon","National Assembly","9.24"
"Gambia (The)","National Assembly","2.04"
"Georgia","Parliament","7.23"
"Germany","German Bundestag","30.94"
"Ghana","Parliament","9"
"Greece","Hellenic Parliament","8.67"
"Grenada","House of Representatives","26.67"
"Guatemala","Congress of the Republic","7.08"
"Guinea","National Assembly","7.02"
"Guinea-Bissau","People's National Assembly","7.84"
"Guyana","Parliament of the Co-operative Republic of Guyana","20"
"Haiti","Chamber of Deputies","3.61"
"Honduras","National Congress","5.47"
"Hungary","National Assembly","8.289999999999999"
"Iceland","Parliament","34.92"
"India","House of the People","8.66"
"Indonesia","House of Representatives","8"
"Iran (Islamic Republic of)","Islamic Parliament of Iran","3.45"
"Iraq","Council of Representatives of Iraq","7.6"
"Ireland","House of Representatives","12.05"
"Israel","Parliament","11.67"
"Italy","Chamber of Deputies","9.84"
"Jamaica","House of Representatives","12.07"
"Japan","House of Representatives","7.29"
"Jordan","House of Representatives","0"
"Kazakhstan","House of Representatives","10.39"
"Kenya","National Assembly","2.68"
"Kiribati","House of Assembly","4.76"
"Kuwait","National Assembly","0"
"Kyrgyzstan","Supreme Council","2.22"
"Lao People's Democratic Republic","National Assembly","21.21"
"Latvia","Parliament","17"
"Lebanon","National Assembly","2.34"
"Lesotho","National Assembly","3.75"
"Liberia","House of Representatives","7.81"
"Liechtenstein","Diet","12"
"Lithuania","Parliament","10.64"
"Luxembourg","Chamber of Deputies","16.67"
"Malawi","National Assembly","8.25"
"Malaysia","House of Representatives","7.25"
"Maldives","People's Majlis","6"
"Mali","National Assembly","12.24"
