"Source: Parline database on national parliaments (https://data.ipu.org).","",""
"Copyright: Inter-Parliamentary Union. Terms of use: https://www.ipu.org/terms-use","",""
"Field name: Percentage of women","",""
"Reference year: 2019","",""
"Exported on: 2019-12-30","",""
"","",""
"Country","Chamber","Percentage of women"
"Afghanistan","House of the People","27.87"
"Albania","Parliament","29.51"
"Algeria","National People's Assembly","25.76"
"Andorra","General Council","46.43"
"Angola","National Assembly","30"
"Antigua and Barbuda","House of Representatives","11.11"
"Argentina","Chamber of Deputies","40.16"
"Armenia","National Assembly","24.24"
"Australia","House of Representatives","30.46"
"Austria","National Council","39.34"
"Azerbaijan","National Assembly","16.81"
"Bahamas","House of Assembly","12.82"
"Bahrain","Council of Representatives","15"
"Bangladesh","Parliament","20.63"
"Barbados","House of Assembly","20"
"Belarus","House of Representatives","40"
"Belgium","House of Representatives","42"
"Belize","House of Representatives","9.380000000000001"
"Benin","National Assembly","7.23"
"Bhutan","National Assembly","14.89"
"Bolivia (Plurinational State of)","Chamber of Deputies","53.08"
"Bosnia and Herzegovina","House of Representatives","21.43"
"Botswana","National Assembly","10.77"
"Brazil","Chamber of Deputies","15.01"
"Brunei Darussalam","Legislative Council","9.09"
"Bulgaria","National Assembly","25.83"
"Burkina Faso","National Assembly","13.39"
"Burundi","National Assembly","36.36"
"Cabo Verde","National Assembly","23.61"
"Cambodia","National Assembly","20"
"Cameroon","National Assembly","31.11"
"Canada","House of Commons","28.99"
"Central African Republic","National Assembly","8.57"
"Chad","National Assembly","14.88"
"Chile","Chamber of Deputies","22.58"
"China","National People's Congress","24.94"
"Colombia","House of Representatives","18.71"
"Comoros","Assembly of the Union","6.06"
"Congo","National Assembly","11.26"
"Costa Rica","Legislative Assembly","45.61"
"Côte d'Ivoire","National Assembly","10.98"
"Croatia","Croatian Parliament","20.53"
"Cuba","National Assembly of the People's Power","53.22"
"Cyprus","House of Representatives","17.86"
"Czech Republic","Chamber of Deputies","22.5"
"Democratic People's Republic of Korea","Supreme People's Assembly","17.61"
"Democratic Republic of the Congo","National Assembly","10"
"Denmark","The Danish Parliament","39.11"
"Djibouti","National Assembly","26.15"
"Dominican Republic","Chamber of Deputies","26.84"
"Ecuador","National Assembly","37.96"
"Egypt","House of Representatives","14.93"
"El Salvador","Legislative Assembly","30.95"
"Equatorial Guinea","Chamber of Deputies","21"
"Estonia","The Estonian Parliament","29.7"
"Eswatini","House of Assembly","7.25"
"Ethiopia","House of Peoples' Representatives","38.76"
"Fiji","Parliament","19.61"
"Finland","Parliament","47"
"France","National Assembly","39.69"
"Gabon","National Assembly","17.91"
"Gambia (The)","National Assembly","10.34"
"Georgia","Parliament","14.77"
"Germany","German Bundestag","30.89"
"Ghana","Parliament","13.09"
"Greece","Hellenic Parliament","20.67"
"Grenada","House of Representatives","46.67"
"Guatemala","Congress of the Republic","19.38"
"Guinea","National Assembly","22.81"
"Guinea-Bissau","People's National Assembly","13.73"
"Guyana","Parliament of the Co-operative Republic of Guyana","31.88"
"Haiti","Chamber of Deputies","2.54"
"Honduras","National Congress","21.09"
"Hungary","National Assembly","12.56"
"Iceland","Parliament","38.1"
"India","House of the People","14.39"
"Indonesia","House of Representatives","17.39"
"Iran (Islamic Republic of)","Islamic Parliament of Iran","5.88"
"Iraq","Council of Representatives of Iraq","25.23"
"Ireland","House of Representatives","22.15"
"Israel","Parliament","23.33"
"Italy","Chamber of Deputies","35.71"
"Jamaica","House of Representatives","17.46"
"Japan","House of Representatives","10.11"
"Jordan","House of Representatives","15.38"
"Kazakhstan","House of Representatives","27.1"
"Kenya","National Assembly","21.78"
"Kiribati","House of Assembly","6.52"
"Kuwait","National Assembly","4.62"
"Kyrgyzstan","Supreme Council","19.17"
"Lao People's Democratic Republic","National Assembly","27.52"
"Latvia","Parliament","30"
"Lebanon","National Assembly","4.69"
"Lesotho","National Assembly","23.33"
"Liberia","House of Representatives","12.33"
"Libya","House of Representatives","15.96"
"Liechtenstein","Diet","12"
"Lithuania","Parliament","21.28"
"Luxembourg","Chamber of Deputies","25"
