"Source: Parline database on national parliaments (https://data.ipu.org).","",""
"Copyright: Inter-Parliamentary Union. Terms of use: https://www.ipu.org/terms-use","",""
"Field name: Percentage of women","",""
"Reference year: 2006","",""
"Exported on: 2019-12-30","",""
"","",""
"Country","Chamber","Percentage of women"
"Afghanistan","House of Elders","22.55"
"Algeria","Council of the Nation","3.1"
"Antigua and Barbuda","Senate","17.65"
"Argentina","Senate","43.06"
"Australia","Senate","35.53"
"Austria","Federal Council","29.51"
"Bahamas","Senate","43.75"
"Bahrain","Shura Council","25"
"Barbados","Senate","23.81"
"Belarus","Council of the Republic","31.58"
"Belgium","Senate","30.99"
"Belize","Senate","23.08"
"Bolivia (Plurinational State of)","Chamber of Senators","3.7"
"Bosnia and Herzegovina","House of Peoples","6.67"
"Brazil","Federal Senate","12.35"
"Burundi","Senate","34.69"
"Cambodia","Senate","14.75"
"Canada","Senate","37.08"
"Chile","Senate","5.26"
"Colombia","Senate","11.76"
"Congo","Senate","13.33"
"Czech Republic","Senate","14.81"
"Democratic Republic of the Congo","Senate","2.5"
"Dominican Republic","Senate","3.13"
"Eswatini","Senat","30"
"Ethiopia","House of the Federation","18.75"
"France","Senate","16.92"
"Gabon","Senate","13.19"
"Germany","Federal Council","18.84"
"Grenada","Senate","30.77"
"Haiti","Senate","13.33"
"India","Council of States","10.74"
"Ireland","Senate","16.67"
"Italy","Senate","13.66"
"Jamaica","Senate","19.05"
"Japan","House of Councillors","14.46"
"Jordan","Senate","12.73"
"Kazakhstan","Senate","5.13"
"Lesotho","Senate","36.36"
"Liberia","The Liberian Senate","16.67"
"Madagascar","Senate","11.11"
"Malaysia","Senate","25.71"
"Mexico","Senate","17.19"
"Morocco","House of Councillors","1.11"
"Namibia","National Council","26.92"
"Netherlands","Senate","32"
"Nigeria","Senate","2.83"
"Oman","State Council","15.52"
"Pakistan","Senate","17"
"Palau","Senate","0"
"Paraguay","Senate","9.76"
"Philippines","Senate","17.39"
"Poland","Senate","13"
"Romania","Senate","9.49"
"Russian Federation","Council of the Federation","5.65"
"Rwanda","Senate","23.08"
"Slovenia","National Council","7.5"
"South Africa","National Council of Provinces","20"
"Spain","Senate","25.48"
"Sudan","Council of States","4"
"Switzerland","Council of States","23.91"
"Tajikistan","National Assembly","17.65"
"Trinidad and Tobago","Senate","32.26"
"United Kingdom","House of Lords","18.91"
"United States of America","Senate","16"
"Uruguay","Senate","9.68"
"Uzbekistan","Senate","15"
"Yemen","Consultative Council","1.8"
"Zimbabwe","Senate","34.85"
