"Source: Parline database on national parliaments (https://data.ipu.org).","",""
"Copyright: Inter-Parliamentary Union. Terms of use: https://www.ipu.org/terms-use","",""
"Field name: Percentage of women","",""
"Reference year: 2016","",""
"Exported on: 2019-12-29","",""
"","",""
"Country","Chamber","Percentage of women"
"Afghanistan","House of the People","27.71"
"Albania","Parliament","22.86"
"Algeria","National People's Assembly","31.6"
"Andorra","General Council","32.14"
"Angola","National Assembly","38.18"
"Antigua and Barbuda","House of Representatives","11.11"
"Argentina","Chamber of Deputies","38.91"
"Armenia","National Assembly","9.92"
"Australia","House of Representatives","28.67"
"Austria","National Council","30.6"
"Azerbaijan","National Assembly","16.8"
"Bahamas","House of Assembly","13.16"
"Bahrain","Council of Representatives","7.5"
"Bangladesh","Parliament","20.29"
"Barbados","House of Assembly","16.67"
"Belarus","House of Representatives","34.55"
"Belgium","House of Representatives","38"
"Belize","House of Representatives","3.13"
"Benin","National Assembly","7.23"
"Bhutan","National Assembly","8.51"
"Bolivia (Plurinational State of)","Chamber of Deputies","53.08"
"Bosnia and Herzegovina","House of Representatives","21.43"
"Botswana","National Assembly","9.52"
"Brazil","Chamber of Deputies","10.72"
"Brunei Darussalam","Legislative Council","9.09"
"Bulgaria","National Assembly","19.17"
"Burkina Faso","National Assembly","11.02"
"Burundi","National Assembly","36.36"
"Cabo Verde","National Assembly","23.61"
"Cambodia","National Assembly","20.33"
"Cameroon","National Assembly","31.11"
"Canada","House of Commons","26.27"
"Central African Republic","National Assembly","8.57"
"Chad","National Assembly","12.77"
"Chile","Chamber of Deputies","15.83"
"China","National People's Congress","23.7"
"Colombia","House of Representatives","18.67"
"Comoros","Assembly of the Union","6.06"
"Congo","National Assembly","7.35"
"Costa Rica","Legislative Assembly","35.09"
"Côte d'Ivoire","National Assembly","11.46"
"Croatia","Croatian Parliament","19.87"
"Cuba","National Assembly of the People's Power","48.86"
"Cyprus","House of Representatives","17.86"
"Czech Republic","Chamber of Deputies","20"
"Democratic People's Republic of Korea","Supreme People's Assembly","16.3"
"Democratic Republic of the Congo","National Assembly","8.94"
"Denmark","The Danish Parliament","37.43"
"Djibouti","National Assembly","10.77"
"Dominica","House of Assembly","25"
"Dominican Republic","Chamber of Deputies","26.84"
"Ecuador","National Assembly","41.61"
"Egypt","House of Representatives","14.93"
"El Salvador","Legislative Assembly","32.14"
"Equatorial Guinea","Chamber of Deputies","24"
"Eritrea","National Assembly","22"
"Estonia","The Estonian Parliament","26.73"
"Eswatini","House of Assembly","6.15"
"Ethiopia","House of Peoples' Representatives","38.76"
"Fiji","Parliament","16"
"Finland","Parliament","42"
"France","National Assembly","25.82"
"Gabon","National Assembly","17.09"
"Gambia (The)","National Assembly","9.43"
"Georgia","Parliament","16"
"Germany","German Bundestag","36.98"
"Ghana","Parliament","12.73"
"Greece","Hellenic Parliament","18.33"
"Grenada","House of Representatives","33.33"
"Guatemala","Congress of the Republic","12.66"
"Guinea","National Assembly","21.93"
"Guinea-Bissau","People's National Assembly","13.73"
"Guyana","Parliament of the Co-operative Republic of Guyana","31.88"
"Haiti","Chamber of Deputies","2.56"
"Honduras","National Congress","25.78"
"Hungary","National Assembly","10.05"
"Iceland","Parliament","47.62"
"India","House of the People","11.81"
"Indonesia","House of Representatives","19.82"
"Iran (Islamic Republic of)","Islamic Parliament of Iran","5.88"
"Iraq","Council of Representatives of Iraq","25.3"
"Ireland","House of Representatives","22.15"
"Israel","Parliament","27.5"
"Italy","Chamber of Deputies","30.95"
"Jamaica","House of Representatives","17.46"
"Japan","House of Representatives","9.26"
"Jordan","House of Representatives","15.38"
"Kazakhstan","House of Representatives","27.1"
"Kenya","National Assembly","19.43"
"Kiribati","House of Assembly","6.52"
"Kuwait","National Assembly","3.08"
"Kyrgyzstan","Supreme Council","19.17"
"Lao People's Democratic Republic","National Assembly","27.52"
"Latvia","Parliament","16"
"Lebanon","National Assembly","3.13"
"Lesotho","National Assembly","25"
"Liberia","House of Representatives","12.33"
"Libya","House of Representatives","15.96"
"Liechtenstein","Diet","12"
