"Source: Parline database on national parliaments (https://data.ipu.org).","",""
"Copyright: Inter-Parliamentary Union. Terms of use: https://www.ipu.org/terms-use","",""
"Field name: Percentage of women","",""
"Reference year: 1971","",""
"Exported on: 2019-12-28","",""
"","",""
"Country","Chamber","Percentage of women"
"Afghanistan","House of the People","0"
"Australia","House of Representatives","0"
"Austria","National Council","6.01"
"Barbados","House of Assembly","8.33"
"Belgium","House of Representatives","2.83"
"Bhutan","National Assembly","0"
"Botswana","National Assembly","0"
"Brazil","Chamber of Deputies","0.32"
"Bulgaria","National Assembly","18.75"
"Burkina Faso","National Assembly","0"
"Cameroon","National Assembly","4"
"Canada","House of Commons","0.38"
"Chile","Chamber of Deputies","6.67"
"China","National People's Congress","17.83"
"Colombia","House of Representatives","4.29"
"Costa Rica","Legislative Assembly","7.02"
"Côte d'Ivoire","National Assembly","3"
"Cyprus","House of Representatives","0"
"Democratic People's Republic of Korea","Supreme People's Assembly","15.97"
"Democratic Republic of the Congo","National Assembly","2.86"
"Denmark","The Danish Parliament","17.32"
"Dominican Republic","Chamber of Deputies","4.05"
"Egypt","House of Representatives","2.22"
"El Salvador","Legislative Assembly","3.85"
"Ethiopia","House of Peoples' Representatives","1.9"
"Finland","Parliament","16.5"
"France","National Assembly","2.05"
"Gabon","National Assembly","0"
"Gambia (The)","National Assembly","0"
"Ghana","Parliament","1.43"
"Guatemala","Congress of the Republic","2.04"
"Guinea","National Assembly","21.33"
"Haiti","Chamber of Deputies","8.619999999999999"
"Honduras","National Congress","9.68"
"Hungary","National Assembly","23.86"
"Iceland","Parliament","5"
"India","House of the People","4.05"
"Indonesia","House of Representatives","7.17"
"Iran (Islamic Republic of)","Islamic Parliament of Iran","6.72"
"Ireland","House of Representatives","2.1"
"Israel","Parliament","6.67"
"Italy","Chamber of Deputies","2.7"
"Jamaica","House of Representatives","3.77"
"Japan","House of Representatives","1.65"
"Jordan","House of Representatives","0"
"Kenya","National Assembly","1.16"
"Kuwait","National Assembly","0"
"Lao People's Democratic Republic","National Assembly","0"
"Lebanon","National Assembly","0"
"Lesotho","National Assembly","0"
"Luxembourg","Chamber of Deputies","3.57"
"Madagascar","National Assembly","5.77"
"Malawi","National Assembly","6.67"
"Malaysia","House of Representatives","2.08"
"Malta","House of Representatives","3.64"
"Mauritania","National Assembly","0"
"Mauritius","National Assembly","0"
"Mexico","Chamber of Deputies","5.24"
"Monaco","National Council","5.56"
"Mongolia","State Great Hural","21.89"
"Morocco","House of Representatives","0"
"Nauru","Parliament","0"
"Nepal","House of Representatives","3.33"
"New Zealand","House of Representatives","4.76"
"Nicaragua","National Assembly","0"
"Niger","National Assembly","0"
"Norway","Parliament","9.33"
"Panama","National Assembly","2.63"
"Paraguay","Chamber of Deputies","3.33"
"Philippines","House of Representatives","2.75"
"Poland","Sejm","13.48"
"Portugal","Assembly of the Republic","3.08"
"Republic of Korea","National Assembly","2.45"
"Romania","Chamber of Deputies","14.41"
"Rwanda","Chamber of Deputies","0"
"Samoa","Legislative Assembly","2.13"
"San Marino","Great and General Council","0"
"Senegal","National Assembly","1.25"
"Singapore","Parliament","1.72"
"South Africa","National Assembly","1.2"
"Spain","Congress of Deputies","1.11"
"Sri Lanka","Parliament","3.82"
"Sweden","Parliament","14"
"Switzerland","National Council","5.5"
"Thailand","House of Representatives","2.74"
"Trinidad and Tobago","House of Representatives","2.78"
"Tunisia","Assembly of People's Representatives","3.7"
"Turkey","Grand National Assembly of Turkey","1.11"
"United Arab Emirates","Federal National Council","0"
"United Kingdom","House of Commons","4.13"
"United Republic of Tanzania","National Assembly","3.9"
"United States of America","House of Representatives","2.27"
"Uruguay","House of Representatives","1.01"
"Venezuela (Bolivarian Republic of)","National Assembly","0"
"Zambia","National Assembly","1.8"
