"Source: Parline database on national parliaments (https://data.ipu.org).","",""
"Copyright: Inter-Parliamentary Union. Terms of use: https://www.ipu.org/terms-use","",""
"Field name: Percentage of women","",""
"Reference year: 1995","",""
"Exported on: 2019-12-28","",""
"","",""
"Country","Chamber","Percentage of women"
"Algeria","National People's Assembly","6.74"
"Andorra","General Council","3.57"
"Angola","National Assembly","9.550000000000001"
"Antigua and Barbuda","House of Representatives","5.26"
"Argentina","Chamber of Deputies","25.29"
"Armenia","National Assembly","6.32"
"Australia","House of Representatives","8.84"
"Austria","National Council","26.78"
"Azerbaijan","National Assembly","12.1"
"Bahamas","House of Assembly","8.16"
"Bangladesh","Parliament","10.3"
"Barbados","House of Assembly","10.71"
"Belarus","House of Representatives","3.8"
"Belgium","House of Representatives","12"
"Belize","House of Representatives","3.45"
"Benin","National Assembly","7.81"
"Bhutan","National Assembly","0"
"Bolivia (Plurinational State of)","Chamber of Deputies","10.77"
"Bosnia and Herzegovina","House of Representatives","4.49"
"Botswana","National Assembly","10"
"Brazil","Chamber of Deputies","7.02"
"Bulgaria","National Assembly","13.33"
"Burkina Faso","National Assembly","5.61"
"Burundi","National Assembly","12.35"
"Cabo Verde","National Assembly","11.11"
"Cambodia","National Assembly","5.83"
"Cameroon","National Assembly","12.22"
"Canada","House of Commons","17.97"
"Central African Republic","National Assembly","3.53"
"Chad","National Assembly","16.36"
"Chile","Chamber of Deputies","7.5"
"China","National People's Congress","21.02"
"Colombia","House of Representatives","10.84"
"Comoros","Assembly of the Union","2.38"
"Congo","National Assembly","1.6"
"Costa Rica","Legislative Assembly","14.04"
"Côte d'Ivoire","National Assembly","8"
"Croatia","Croatian Parliament","7.87"
"Cuba","National Assembly of the People's Power","22.75"
"Cyprus","House of Representatives","5.36"
"Czech Republic","Chamber of Deputies","10"
"Democratic People's Republic of Korea","Supreme People's Assembly","20.09"
"Democratic Republic of the Congo","National Assembly","5.01"
"Denmark","The Danish Parliament","33.52"
"Djibouti","National Assembly","0"
"Dominica","House of Assembly","9.380000000000001"
"Dominican Republic","Chamber of Deputies","11.67"
"Ecuador","National Assembly","4.48"
"Egypt","House of Representatives","1.98"
"El Salvador","Legislative Assembly","10.71"
"Equatorial Guinea","Chamber of Deputies","7.5"
"Eritrea","National Assembly","20.95"
"Estonia","The Estonian Parliament","12.87"
"Eswatini","House of Assembly","3.08"
"Ethiopia","House of Peoples' Representatives","2.05"
"Fiji","Parliament","4.29"
"Finland","Parliament","33.5"
"France","National Assembly","6.41"
"Gabon","National Assembly","5.88"
"Gambia (The)","National Assembly","7.84"
"Georgia","Parliament","6.93"
"Germany","German Bundestag","26.34"
"Ghana","Parliament","8"
"Greece","Hellenic Parliament","6"
"Grenada","House of Representatives","20"
"Guatemala","Congress of the Republic","12.5"
"Guinea","National Assembly","7.02"
"Guinea-Bissau","People's National Assembly","10"
"Guyana","Parliament of the Co-operative Republic of Guyana","20"
"Haiti","Chamber of Deputies","3.75"
"Honduras","National Congress","7.03"
"Hungary","National Assembly","11.4"
"Iceland","Parliament","25.4"
"India","House of the People","7.23"
"Indonesia","House of Representatives","12.2"
"Iran (Islamic Republic of)","Islamic Parliament of Iran","3.45"
"Iraq","Council of Representatives of Iraq","10.8"
"Ireland","House of Representatives","12.05"
"Israel","Parliament","9.17"
"Italy","Chamber of Deputies","15.08"
"Jamaica","House of Representatives","11.67"
"Japan","House of Representatives","2.74"
"Jordan","House of Representatives","1.25"
"Kazakhstan","House of Representatives","13.43"
"Kenya","National Assembly","2.97"
"Kiribati","House of Assembly","0"
"Kuwait","National Assembly","0"
"Kyrgyzstan","Supreme Council","4.76"
"Lao People's Democratic Republic","National Assembly","9.41"
"Latvia","Parliament","15"
"Lebanon","National Assembly","2.34"
"Lesotho","National Assembly","4.62"
"Liechtenstein","Diet","8"
"Lithuania","Parliament","7.09"
"Luxembourg","Chamber of Deputies","20"
"Madagascar","National Assembly","3.62"
"Malawi","National Assembly","5.65"
"Malaysia","House of Representatives","7.81"
"Maldives","People's Majlis","6.25"
