"Source: Parline database on national parliaments (https://data.ipu.org).","",""
"Copyright: Inter-Parliamentary Union. Terms of use: https://www.ipu.org/terms-use","",""
"Field name: Percentage of women","",""
"Reference year: 2004","",""
"Exported on: 2019-12-30","",""
"","",""
"Country","Chamber","Percentage of women"
"Algeria","Council of the Nation","2.78"
"Antigua and Barbuda","Senate","17.65"
"Argentina","Senate","33.33"
"Australia","Senate","35.53"
"Austria","Federal Council","27.42"
"Bahamas","Senate","43.75"
"Bahrain","Shura Council","15"
"Barbados","Senate","23.81"
"Belarus","Council of the Republic","31.58"
"Belgium","Senate","36.62"
"Belize","Senate","25"
"Bolivia (Plurinational State of)","Chamber of Senators","11.11"
"Bosnia and Herzegovina","House of Peoples","0"
"Brazil","Federal Senate","12.35"
"Cambodia","Senate","13.11"
"Canada","Senate","36.67"
"Chile","Senate","4.08"
"Colombia","Senate","8.82"
"Congo","Senate","15"
"Czech Republic","Senate","12.35"
"Democratic Republic of the Congo","Senate","2.5"
"Dominican Republic","Senate","3.13"
"Eswatini","Senat","30"
"Ethiopia","House of the Federation","7.14"
"France","Senate","16.92"
"Gabon","Senate","13.19"
"Germany","Federal Council","18.84"
"Grenada","Senate","30.77"
"Haiti","Senate","25.93"
"India","Council of States","11.57"
"Ireland","Senate","16.67"
"Italy","Senate","7.67"
"Jamaica","Senate","19.05"
"Japan","House of Councillors","13.64"
"Jordan","Senate","12.73"
"Kazakhstan","Senate","7.69"
"Lesotho","Senate","36.36"
"Liberia","The Liberian Senate","19.23"
"Madagascar","Senate","11.11"
"Malaysia","Senate","25.71"
"Mexico","Senate","15.63"
"Morocco","House of Councillors","1.11"
"Namibia","National Council","26.92"
"Nepal","National Assembly","8.33"
"Netherlands","Senate","29.33"
"Nigeria","Senate","2.83"
"Oman","State Council","15.52"
"Pakistan","Senate","18"
"Palau","Senate","0"
"Paraguay","Senate","9.76"
"Philippines","Senate","17.39"
"Poland","Senate","23"
"Romania","Senate","9.49"
"Russian Federation","Council of the Federation","5.65"
"Rwanda","Senate","34.62"
"Saint Lucia","Senate","36.36"
"Slovenia","National Council","7.5"
"South Africa","National Council of Provinces","33.33"
"Spain","Senate","23.17"
"Switzerland","Council of States","23.91"
"Tajikistan","National Assembly","11.76"
"Trinidad and Tobago","Senate","32.26"
"United Kingdom","House of Lords","17.82"
"United States of America","Senate","14"
"Uruguay","Senate","9.68"
"Yemen","Consultative Council","1.8"
