"Source: Parline database on national parliaments (https://data.ipu.org).","",""
"Copyright: Inter-Parliamentary Union. Terms of use: https://www.ipu.org/terms-use","",""
"Field name: Percentage of women","",""
"Reference year: 2009","",""
"Exported on: 2019-12-30","",""
"","",""
"Country","Chamber","Percentage of women"
"Afghanistan","House of Elders","22.55"
"Algeria","Council of the Nation","5.15"
"Antigua and Barbuda","Senate","29.41"
"Argentina","Senate","35.21"
"Australia","Senate","35.53"
"Austria","Federal Council","29.51"
"Bahamas","Senate","33.33"
"Bahrain","Shura Council","25"
"Barbados","Senate","33.33"
"Belarus","Council of the Republic","33.93"
"Belgium","Senate","40.85"
"Belize","Senate","38.46"
"Bhutan","National Council","24"
"Bolivia (Plurinational State of)","Chamber of Senators","41.67"
"Bosnia and Herzegovina","House of Peoples","13.33"
"Burundi","Senate","32.65"
"Cambodia","Senate","14.75"
"Canada","Senate","35"
"Chile","Senate","13.16"
"Colombia","Senate","11.76"
"Congo","Senate","12.86"
"Czech Republic","Senate","14.81"
"Democratic Republic of the Congo","Senate","4.63"
"Dominican Republic","Senate","14.29"
"Eswatini","Senat","40"
"Ethiopia","House of the Federation","18.75"
"France","Senate","21.87"
"Gabon","Senate","14.66"
"Germany","Federal Council","27.54"
"Grenada","Senate","30.77"
"Haiti","Senate","0"
"India","Council of States","9.01"
"Ireland","Senate","20"
"Italy","Senate","18.01"
"Jamaica","Senate","9.52"
"Japan","House of Councillors","17.36"
"Jordan","Senate","12.73"
"Kazakhstan","Senate","6.45"
"Lesotho","Senate","21.43"
"Liberia","The Liberian Senate","16.67"
"Madagascar","Senate","15.15"
"Malaysia","Senate","28.13"
"Mexico","Senate","19.53"
"Morocco","House of Councillors","2.22"
"Namibia","National Council","26.92"
"Netherlands","Senate","34.67"
"Nigeria","Senate","8.26"
"Oman","State Council","19.44"
"Pakistan","Senate","18"
"Palau","Senate","15.38"
"Paraguay","Senate","15.56"
"Philippines","Senate","17.39"
"Poland","Senate","8"
"Romania","Senate","5.84"
"Russian Federation","Council of the Federation","4.73"
"Rwanda","Senate","23.08"
"Saint Lucia","Senate","18.18"
"Slovenia","National Council","2.5"
"South Africa","National Council of Provinces","29.63"
"Spain","Senate","30.8"
"Sudan","Council of States","4"
"Switzerland","Council of States","21.74"
"Tajikistan","National Assembly","17.65"
"Trinidad and Tobago","Senate","32.26"
"United Kingdom","House of Lords","20"
"United States of America","Senate","15.31"
"Uruguay","Senate","13.33"
"Uzbekistan","Senate","15"
"Yemen","Consultative Council","1.8"
"Zimbabwe","Senate","24.24"
