"Source: Parline database on national parliaments (https://data.ipu.org).","",""
"Copyright: Inter-Parliamentary Union. Terms of use: https://www.ipu.org/terms-use","",""
"Field name: Percentage of women","",""
"Reference year: 1998","",""
"Exported on: 2019-12-30","",""
"","",""
"Country","Chamber","Percentage of women"
"Algeria","Council of the Nation","5.56"
"Antigua and Barbuda","Senate","17.65"
"Argentina","Senate","2.78"
"Australia","Senate","28.95"
"Austria","Federal Council","20.97"
"Bahamas","Senate","43.75"
"Barbados","Senate","28.57"
"Belarus","Council of the Republic","30.16"
"Belgium","Senate","22.54"
"Belize","Senate","37.5"
"Bolivia (Plurinational State of)","Chamber of Senators","3.7"
"Bosnia and Herzegovina","House of Peoples","0"
"Brazil","Federal Senate","7.41"
"Canada","Senate","29"
"Chile","Senate","4.08"
"Colombia","Senate","12.75"
"Czech Republic","Senate","11.11"
"Dominican Republic","Senate","6.67"
"Eswatini","Senat","13.33"
"Ethiopia","House of the Federation","6.48"
"France","Senate","5.92"
"Gabon","Senate","10.99"
"Germany","Federal Council","18.84"
"India","Council of States","8.640000000000001"
"Ireland","Senate","18.33"
"Italy","Senate","7.98"
"Jamaica","Senate","23.81"
"Japan","House of Councillors","17.06"
"Jordan","Senate","7.5"
"Kazakhstan","Senate","10"
"Lesotho","Senate","27.27"
"Liberia","The Liberian Senate","19.23"
"Malaysia","Senate","17.39"
"Mexico","Senate","14.84"
"Morocco","House of Councillors","0.74"
"Namibia","National Council","7.69"
"Nepal","National Assembly","8.33"
"Netherlands","Senate","26.67"
"Pakistan","Senate","1.15"
"Palau","Senate","7.14"
"Paraguay","Senate","12.2"
"Philippines","Senate","17.39"
"Poland","Senate","11"
"Romania","Senate","1.4"
"Russian Federation","Council of the Federation","5.11"
"Saint Lucia","Senate","18.18"
"South Africa","National Council of Provinces","16.67"
"Spain","Senate","13.28"
"Switzerland","Council of States","17.39"
"Trinidad and Tobago","Senate","29.03"
"United Kingdom","House of Lords","14.59"
"United States of America","Senate","9"
"Uruguay","Senate","6.67"
