"Source: Parline database on national parliaments (https://data.ipu.org).","",""
"Copyright: Inter-Parliamentary Union. Terms of use: https://www.ipu.org/terms-use","",""
"Field name: Percentage of women","",""
"Reference year: 2002","",""
"Exported on: 2019-12-30","",""
"","",""
"Country","Chamber","Percentage of women"
"Antigua and Barbuda","Senate","11.76"
"Argentina","Senate","33.33"
"Australia","Senate","30.26"
"Austria","Federal Council","25.81"
"Bahamas","Senate","43.75"
"Bahrain","Shura Council","15"
"Barbados","Senate","33.33"
"Belarus","Council of the Republic","30.65"
"Belgium","Senate","28.17"
"Belize","Senate","37.5"
"Bolivia (Plurinational State of)","Chamber of Senators","14.81"
"Bosnia and Herzegovina","House of Peoples","0"
"Brazil","Federal Senate","12.35"
"Cambodia","Senate","13.11"
"Canada","Senate","35.48"
"Chile","Senate","4.08"
"Colombia","Senate","8.82"
"Congo","Senate","15"
"Czech Republic","Senate","12.35"
"Dominican Republic","Senate","3.13"
"Eswatini","Senat","13.33"
"Ethiopia","House of the Federation","7.14"
"France","Senate","10.94"
"Gabon","Senate","10.99"
"Germany","Federal Council","18.84"
"Grenada","Senate","7.69"
"Haiti","Senate","25.93"
"India","Council of States","10.2"
"Ireland","Senate","16.67"
"Italy","Senate","7.67"
"Jamaica","Senate","19.05"
"Japan","House of Councillors","15.38"
"Jordan","Senate","7.5"
"Kazakhstan","Senate","7.69"
"Lesotho","Senate","36.36"
"Liberia","The Liberian Senate","19.23"
"Madagascar","Senate","7.84"
"Malaysia","Senate","17.39"
"Mexico","Senate","15.63"
"Morocco","House of Councillors","0.37"
"Namibia","National Council","7.69"
"Nepal","National Assembly","8.33"
"Netherlands","Senate","28"
"Pakistan","Senate","1.15"
"Palau","Senate","0"
"Paraguay","Senate","12.2"
"Philippines","Senate","12.5"
"Poland","Senate","23"
"Romania","Senate","7.86"
"Russian Federation","Council of the Federation","5.11"
"Saint Lucia","Senate","36.36"
"Slovenia","National Council","7.5"
"South Africa","National Council of Provinces","31.48"
"Spain","Senate","24.32"
"Switzerland","Council of States","19.57"
"Tajikistan","National Assembly","11.76"
"Trinidad and Tobago","Senate","32.26"
"United Kingdom","House of Lords","14.59"
"United States of America","Senate","13"
"Uruguay","Senate","9.68"
"Yemen","Consultative Council","1.8"
