"Source: Parline database on national parliaments (https://data.ipu.org).","",""
"Copyright: Inter-Parliamentary Union. Terms of use: https://www.ipu.org/terms-use","",""
"Field name: Percentage of women","",""
"Reference year: 1964","",""
"Exported on: 2019-12-28","",""
"","",""
"Country","Chamber","Percentage of women"
"Algeria","National People's Assembly","1.45"
"Argentina","Chamber of Deputies","0.52"
"Australia","House of Representatives","0"
"Austria","National Council","5.45"
"Belgium","House of Representatives","5.19"
"Bhutan","National Assembly","0"
"Bolivia (Plurinational State of)","Chamber of Deputies","1.94"
"Brazil","Chamber of Deputies","0.49"
"Bulgaria","National Assembly","20.25"
"Burundi","National Assembly","0"
"Cambodia","National Assembly","0"
"Cameroon","National Assembly","2"
"Canada","House of Commons","2.26"
"Central African Republic","National Assembly","0"
"Chile","Chamber of Deputies","3.4"
"China","National People's Congress","17.83"
"Colombia","House of Representatives","4.89"
"Congo","National Assembly","5.45"
"Costa Rica","Legislative Assembly","1.75"
"Côte d'Ivoire","National Assembly","0"
"Cyprus","House of Representatives","0"
"Democratic People's Republic of Korea","Supreme People's Assembly","8.880000000000001"
"Denmark","The Danish Parliament","9.5"
"Egypt","House of Representatives","2.22"
"El Salvador","Legislative Assembly","1.92"
"Ethiopia","House of Peoples' Representatives","1.9"
"Finland","Parliament","14"
"France","National Assembly","1.87"
"Gabon","National Assembly","0"
"Ghana","Parliament","9.619999999999999"
"Greece","Hellenic Parliament","0.67"
"Guinea","National Assembly","18.67"
"Guyana","Parliament of the Co-operative Republic of Guyana","9.43"
"Haiti","Chamber of Deputies","5.17"
"Honduras","National Congress","5.17"
"Hungary","National Assembly","18.24"
"Iceland","Parliament","1.67"
"India","House of the People","6.76"
"Indonesia","House of Representatives","9.210000000000001"
"Iran (Islamic Republic of)","Islamic Parliament of Iran","3.03"
"Ireland","House of Representatives","2.08"
"Israel","Parliament","8.33"
"Italy","Chamber of Deputies","4.6"
"Japan","House of Representatives","1.5"
"Jordan","House of Representatives","0"
"Kenya","National Assembly","0"
"Kuwait","National Assembly","0"
"Lao People's Democratic Republic","National Assembly","0"
"Lebanon","National Assembly","0"
"Libya","House of Representatives","0"
"Luxembourg","Chamber of Deputies","0"
"Madagascar","National Assembly","0"
"Malawi","National Assembly","2"
"Malaysia","House of Representatives","1.89"
"Mali","National Assembly","1.25"
"Mexico","Chamber of Deputies","6.19"
"Monaco","National Council","5.56"
"Mongolia","State Great Hural","20"
"Morocco","House of Representatives","0"
"Nepal","House of Representatives","2.4"
"Netherlands","House of Representatives","10"
"New Zealand","House of Representatives","6.25"
"Nicaragua","National Assembly","0"
"Niger","National Assembly","0"
"Norway","Parliament","8.67"
"Panama","National Assembly","2.38"
"Paraguay","Chamber of Deputies","3.33"
"Peru","Congress of the Republic","1.43"
"Philippines","House of Representatives","1.89"
"Poland","Sejm","13.04"
"Portugal","Assembly of the Republic","2.31"
"Republic of Korea","National Assembly","1.14"
"Romania","Chamber of Deputies","16.56"
"Samoa","Legislative Assembly","2.13"
"San Marino","Great and General Council","0"
"Senegal","National Assembly","1.25"
"Singapore","Parliament","5.88"
"Somalia","House of the People","0"
"South Africa","National Assembly","1.88"
"Spain","Congress of Deputies","0.53"
"Sri Lanka","Parliament","1.27"
"Sudan","National Assembly","0"
"Sweden","Parliament","13.3"
"Syrian Arab Republic","People's Assembly","0"
"Togo","National Assembly","0"
"Trinidad and Tobago","House of Representatives","3.33"
"Tunisia","Assembly of People's Representatives","1.11"
"Turkey","Grand National Assembly of Turkey","0.67"
"Uganda","Parliament","2.2"
"United Kingdom","House of Commons","4.6"
"United States of America","House of Representatives","2.73"
"Uruguay","House of Representatives","0"
"Venezuela (Bolivarian Republic of)","National Assembly","3.37"
