pdes,diameter
"2006 YC13",
"2006 YH14",
"2006 YP44",
"2007 AM",
"2007 AA2",
"2007 AC2",
"2007 AF2",
"2007 AS2",
"2007 AU2",
"2007 AV2",
"2007 AB12",
"2007 AC12",
"2007 AH12",
"2007 BB",
"2007 BD",
"2007 BJ",
"2007 BS2",
"2007 BD7",
"2007 BT7",
"2007 BU7",
"2007 BC8",
"2007 BD8",
"2007 BJ29",
"2007 BY48",
"2007 BZ48",
"2007 BA49",
"2007 BB49",
"2007 BE49",
"2007 BB50",
"2007 CO5",
"2007 CQ5",
"2007 CR5",
"2007 CS5",
"2007 CH15",
"2007 CJ15",
"2007 CU18",
"2007 CB19",
"2007 CC19",
"2007 CF19",
"2007 CL26",
"2007 CM26",
"2007 CO26",
"2007 CS26",
"2007 CT26",
"2007 CB27",
"2007 CC27",
"2007 CZ49",
"2007 CX50",
"2007 DA",
"2007 DC",
"2007 DD",
"2007 DJ",
"2007 DW",
"2007 DX",
"2007 DY",
"2007 DS7",
"2007 DE8",
"2007 DF8",
"2007 DG8",
"2007 DH8",
"2007 DJ8",
"2007 DK8",
"2007 DM8",
"2007 DQ40",
"2007 DX40",
"2007 DY40",
"2007 DZ40",
"2007 DL41",
"2007 DN41",
"2007 DD49",
"2007 DB56",
"2007 DX60",
"2007 DB61",
"2007 DS84",
"2007 DT103",
"2007 EC",
"2007 EF",0.260
"2007 EG",
"2007 EH",
"2007 EK",
"2007 EM",
"2007 EN",
"2007 EO",
"2007 EQ",
"2007 ES",0.848
"2007 EU",
"2007 EV",
"2007 EW",
"2007 EY",
"2007 EZ",
"2007 EY25",
"2007 EZ25",
"2007 EA26",
"2007 EE26",
"2007 EG26",
"2007 EH26",
"2007 EK26",
"2007 EL26",
"2007 EM26",
"2007 EN26",
"2007 EF88",
"2007 EG88",
"2007 EJ88",
"2007 EK88",
"2007 EN88",
"2007 EO88",
"2007 ED125",
"2007 EE126",
"2007 EF126",
"2007 FB",
"2007 FC",
"2007 FF1",
"2007 FG1",
"2007 FH1",
"2007 FJ1",
"2007 FK1",
"2007 FC3",
"2007 FD3",
"2007 FK3",
"2007 FN3",
"2007 FO3",
"2007 FP3",
"2007 FQ3",
"2007 FR3",
"2007 FS3",
"2007 FT3",
"2007 FL18",
"2007 FY20",
"2007 GC",
"2007 GF",
"2007 GU1",
"2007 GY1",
"2007 GQ3",
"2007 GT3",
"2007 GS4",
"2007 GU4",
"2007 GW4",
"2007 GV5",
"2007 GW5",
"2007 GX5",
"2007 GY5",
"2007 GZ5",
"2007 HA",
"2007 HC",
"2007 HP",
"2007 HW3",
"2007 HY3",
"2007 HL4",
"2007 HV4",
"2007 HW4",
"2007 HB15",
"2007 HD15",
"2007 HE15",
"2007 HF15",
"2007 HY15",
"2007 HG44",
"2007 HH44",
"2007 HZ58",
"2007 HD70",
"2007 HX82",
"2007 HD84",
"2007 JD",
"2007 JY2",
"2007 JZ2",
"2007 JW9",
"2007 JF16",
"2007 JG16",
"2007 JB21",
"2007 JH22",
"2007 JE40",
"2007 KD",
"2007 KE",
"2007 KJ",
"2007 KK",
"2007 KD2",
"2007 KV2",
"2007 KW2",
"2007 KE4",
"2007 KO4",
"2007 KF7",
"2007 KG7",
"2007 LA",
"2007 LT",
"2007 LU",
"2007 LV8",
"2007 LT19",
"2007 LU19",
"2007 LW19",
"2007 MF",
"2007 MG",
"2007 MH",
"2007 MQ",
"2007 MB4",
"2007 MC4",
"2007 MK6",
"2007 MJ13",
"2007 ML13",
"2007 MC24",
"2007 NQ",
"2007 NL1",
"2007 NT4",
"2007 OV",
"2007 OX",
"2007 OY",
"2007 OH3",
"2007 OR9",
"2007 PQ",
"2007 PF2",
"2007 PB8",
"2007 PD8",
"2007 PE8",
"2007 PP9",
"2007 PQ9",
"2007 PR9",
"2007 PS9",
"2007 PR10",
"2007 PR25",
"2007 PS25",
"2007 PV27",
"2007 PF28",
"2007 QA2",
"2007 QK2",
"2007 QE3",
"2007 RD1",
"2007 RE1",
"2007 RF1",
"2007 RG1",
"2007 RH1",
"2007 RJ1",
"2007 RO1",
"2007 RS1",
"2007 RT1",
"2007 RE2",
"2007 RF2",
"2007 RG2",
"2007 RX8",
"2007 RY8",
"2007 RZ8",
"2007 RA9",
"2007 RP9",
"2007 RS9",
"2007 RT9",
"2007 RU9",
"2007 RV9",
"2007 RY9",
"2007 RU10",0.922
"2007 RP12",
"2007 RQ12",
"2007 RR12",
"2007 RS12",
"2007 RT12",
"2007 RU12",
"2007 RV12",
"2007 RP15",
"2007 RO17",
"2007 RP17",
"2007 RR17",
"2007 RS17",
"2007 RT17",
"2007 RU17",
"2007 RW17",
"2007 RU19",
"2007 RV19",
"2007 RW19",
"2007 RY19",
"2007 RZ19",
"2007 RA20",
"2007 RC20",
"2007 RD20",
"2007 RL133",
"2007 RN133",
"2007 RO133",
"2007 RP133",
"2007 RQ133",
"2007 RS146",
"2007 SH",
"2007 SR1",
"2007 SS1",
"2007 SU1",
"2007 SV1",
"2007 SV2",
"2007 SW2",
"2007 SN6",
"2007 SO6",
"2007 SQ6",
"2007 SG11",
"2007 SR11",
"2007 TD",
"2007 TC1",
"2007 TD1",
"2007 TG1",
"2007 TH1",
"2007 TH3",
"2007 TK5",
"2007 TL5",
"2007 TG8",
"2007 TB14",
"2007 TC14",
"2007 TE15",
"2007 TF15",
"2007 TH15",
"2007 TJ15",
"2007 TK15",
"2007 TL15",
"2007 TM15",
"2007 TL16",
"2007 TT18",
"2007 TU18",
"2007 TZ18",
"2007 TJ19",
"2007 TS19",
"2007 TX22",
"2007 TA23",
"2007 TC23",
"2007 TL23",
"2007 TQ24",
"2007 TR24",
"2007 TS24",
"2007 TT24",
"2007 TU24",
"2007 TW24",
"2007 TX24",
"2007 TY24",
"2007 TA25",
"2007 TB25",
"2007 TG25",
"2007 TD66",
"2007 TE66",
"2007 TF68",
"2007 TR68",
"2007 TS68",
"2007 TU68",
"2007 TV68",
"2007 TW68",
"2007 TX68",
"2007 TZ68",
"2007 TE71",
"2007 TG71",
"2007 TH71",
"2007 TH72",
"2007 TN74",
"2007 TO74",
"2007 UG",
"2007 UH",
"2007 UJ",
"2007 UR",
"2007 US",
"2007 UT",
"2007 UW1",
"2007 UX1",
"2007 UY1",
"2007 UA2",
"2007 UC2",
"2007 US3",
"2007 UT3",
"2007 UU3",
"2007 UW3",
"2007 UC6",
"2007 UD6",
"2007 UE6",
"2007 UF6",
"2007 UG6",
"2007 UO6",
"2007 UP6",
"2007 UL12",
"2007 UM12",
"2007 UN12",
"2007 US12",
"2007 UK40",
"2007 UQ51",
"2007 UR51",
"2007 US51",
"2007 US65",
"2007 UT65",
"2007 UB66",
"2007 VG",
"2007 VZ2",
"2007 VA3",
"2007 VB3",
"2007 VC3",
"2007 VD3",
"2007 VE3",
"2007 VF3",
"2007 VG3",
"2007 VH3",
"2007 VJ3",
"2007 VK3",
"2007 VL3",
"2007 VN3",
"2007 VS6",
"2007 VT6",
"2007 VU6",
"2007 VV6",
"2007 VW6",
"2007 VX6",
"2007 VV7",
"2007 VW7",
"2007 VD8",
"2007 VE8",
"2007 VF8",
"2007 VH8",
"2007 VJ8",
"2007 VK8",
"2007 VD12",
"2007 VR29",
"2007 VT83",
"2007 VU83",
"2007 VV83",
"2007 VW83",
"2007 VX83",
"2007 VM84",
"2007 VO84",
"2007 VX137",
"2007 VY137",
"2007 VZ137",
"2007 VA138",
"2007 VB138",
"2007 VC138",
"2007 VD138",
"2007 VE138",
"2007 VD184",
"2007 VE184",
"2007 VF184",
"2007 VH184",
"2007 VJ184",
"2007 VK184",
"2007 VL184",
"2007 VM184",
"2007 VA188",
"2007 VB188",
"2007 VF189",
"2007 VG189",0.505
"2007 VH189",
"2007 VJ189",
"2007 VB191",
"2007 VC191",
"2007 VD191",
"2007 VE191",
"2007 VF191",
"2007 VL243",
"2007 VM243",
"2007 VN243",
"2007 VP243",
"2007 WA",
"2007 WC",
"2007 WJ3",
"2007 WK3",
"2007 WL3",
"2007 WM3",
"2007 WN3",
"2007 WP3",
"2007 WQ3",
"2007 WT3",
"2007 WU3",
"2007 WV3",
"2007 WW3",
"2007 WY3",
"2007 WT4",
"2007 WW4",
"2007 WX4",
"2007 WZ4",
"2007 WB5",
"2007 WC5",
"2007 WD5",
"2007 WE55",
"2007 XN",
"2007 XO",
"2007 XP",
"2007 XN3",
"2007 XO3",
"2007 XQ3",
"2007 XT3",
"2007 XY9",
"2007 XZ9",
"2007 XA10",
"2007 XB10",
"2007 XD10",
"2007 XK11",
"2007 XN16",
"2007 XF18",
"2007 XL18",
"2007 XA23",
"2007 XB23",
"2007 XT23",
"2007 XV23",
"2007 XW23",
"2007 XA51",
"2007 YF",
"2007 YG",
"2007 YH",
"2007 YM",
"2007 YZ",0.532
"2007 YF1",
"2007 YH1",
"2007 YJ1",
"2007 YM1",
"2007 YN1",
"2007 YX1",
"2007 YB2",
"2007 YM56",
"2007 YN56",
"2007 YO56",
"2007 YP56",
"2007 YR56",
"2007 YS56",
"2007 YT56",
"2007 YU56",
"2007 YZ58",
"2007 YY59",
"2008 AD",
"2008 AG1",
"2008 AX1",
"2008 AF3",
"2008 AE4",
"2008 AG4",
"2008 AH4",
"2008 AS28",
"2008 AU28",
"2008 AW28",
"2008 AX28",
"2008 AZ30",
"2008 AH33",
"2008 AJ33",
"2008 AK33",
"2008 AL33",
"2008 AM33",
"2008 AN33",
"2008 AP33",
"2008 BC",
"2008 BE",
"2008 BT2",
"2008 BV2",
"2008 BW2",
"2008 BX2",
"2008 BC15",
"2008 BD15",
"2008 BE15",
"2008 BH16",
"2008 BN16",
"2008 BO16",
"2008 BP16",
"2008 BQ16",
"2008 BC22",
"2008 CF",
"2008 CG",
"2008 CH",
"2008 CJ",
"2008 CK",
"2008 CO",
"2008 CP",
"2008 CQ",
"2008 CH1",
"2008 CJ1",
"2008 CL1",
"2008 CS1",
"2008 CT1",
"2008 CY4",
"2008 CZ4",
"2008 CE5",
"2008 CA6",
"2008 CB6",
"2008 CC6",
"2008 CD6",
"2008 CE6",
"2008 CL20",
"2008 CX21",
"2008 CY21",
"2008 CZ21",
"2008 CA22",
"2008 CC22",
"2008 CD22",
"2008 CE22",
"2008 CF22",
"2008 CJ22",
"2008 CP23",
"2008 CD70",
"2008 CE70",
"2008 CH70",
"2008 CK70",
"2008 CL70",
"2008 CC71",
"2008 CD71",
"2008 CL72",
"2008 CM74",
"2008 CG116",
"2008 CH116",
"2008 CK116",
"2008 CL116",
"2008 CN116",
"2008 CO116",
"2008 CP116",
"2008 CQ116",
"2008 CS116",
"2008 CW118",
"2008 CY118",
"2008 CZ118",
"2008 CA119",
"2008 CD119",
"2008 CE119",
"2008 CG119",
"2008 CJ119",
"2008 CK119",
"2008 CB175",
"2008 CC175",
"2008 DB",
"2008 DC",
"2008 DD",
"2008 DJ",
"2008 DW",
"2008 DX",
"2008 DY",
"2008 DA4",
"2008 DG4",
"2008 DL4",
"2008 DF5",
"2008 DH5",
"2008 DL5",
"2008 DT22",
"2008 DU22",
"2008 DV22",
"2008 DW22",
"2008 DX22",
"2008 DY22",
"2008 DH23",
"2008 EF",
"2008 EH",
"2008 EJ",
"2008 EL",
"2008 EM",
"2008 EN",
"2008 EO",
"2008 EP",
"2008 EQ",
"2008 ER",
"2008 EH1",
"2008 EK1",
"2008 EE5",
"2008 ES5",
"2008 EW5",
"2008 EX5",
"2008 EM6",
"2008 EN6",
"2008 EO6",
"2008 EM7",
"2008 EP7",
"2008 ET7",
"2008 EZ7",
"2008 EA8",
"2008 EB8",
"2008 ED8",
"2008 EA9",
"2008 EE9",
"2008 EF9",
"2008 EG9",
"2008 EJ9",
"2008 EC32",
"2008 EF32",
"2008 EG32",
"2008 EE68",
"2008 EJ68",
"2008 EK68",
"2008 EL68",
"2008 EM68",
"2008 EU68",
"2008 EV68",
"2008 EV84",
"2008 EW84",
"2008 EX84",
"2008 EY84",
"2008 EZ84",
"2008 EB85",
"2008 EC85",
"2008 ED85",
"2008 EE85",
"2008 EF85",
"2008 EG85",
"2008 EH85",
"2008 EJ85",
"2008 EK85",
"2008 EL85",
"2008 EM85",
"2008 ER90",
"2008 FB",
"2008 FC",
"2008 FE",
"2008 FG",
"2008 FH",
"2008 FJ",
"2008 FK",
"2008 FM",
"2008 FN",
"2008 FO",
"2008 FP",
"2008 FE5",
"2008 FF5",
"2008 FH5",
"2008 FW5",
"2008 FN6",
"2008 FS6",
"2008 FW6",
"2008 FX6",
"2008 FY6",
"2008 FJ7",
"2008 FK7",
"2008 FL7",
"2008 GD",
"2008 GE",
"2008 GF",
"2008 GG",
"2008 GH",
"2008 GJ",
"2008 GK",
"2008 GQ",
"2008 GR",
"2008 GV",
"2008 GX",
"2008 GD1",
"2008 GF1",
"2008 GF2",
"2008 GK2",
"2008 GL2",
"2008 GM2",
"2008 GP3",
"2008 GQ3",
"2008 GR3",
"2008 GS3",
"2008 GU3",
"2008 GV3",
"2008 GX3",
"2008 GY3",
"2008 GZ3",
"2008 GA4",
"2008 GB4",
"2008 GL20",
"2008 GO20",
"2008 GP20",
"2008 GU20",
"2008 GV20",
"2008 GW20",
"2008 GB21",
"2008 GX21",
"2008 GA110",
"2008 GC110",
"2008 GD110",
"2008 GE110",
"2008 GJ110",
"2008 GE128",
"2008 HG",
"2008 HH",
"2008 HJ",
"2008 HK",
"2008 HX1",
"2008 HY1",
"2008 HZ1",
"2008 HA2",
"2008 HB2",
"2008 HC2",
"2008 HD2",
"2008 HE2",
"2008 HF2",
"2008 HE3",
"2008 HJ3",
"2008 HQ3",
"2008 HR3",
"2008 HT4",
"2008 HU4",
"2008 HA38",
"2008 HB38",
"2008 HC38",
"2008 HE66",
"2008 JC",
"2008 JE",
"2008 JG",
"2008 JJ",
"2008 JN",
"2008 JP",
"2008 JQ",
"2008 JU2",
"2008 JV2",
"2008 JW2",
"2008 JL3",
"2008 JZ7",
"2008 JO14",
"2008 JR14",
"2008 JT19",
"2008 JW19",
"2008 JM20",
"2008 JL24",
"2008 JP24",
"2008 JM26",
"2008 JS26",
"2008 JY30",
"2008 JD33",
"2008 JT35",
"2008 KO",
"2008 KQ",
"2008 KS",
"2008 KT",
"2008 KV2",
"2008 KW2",
"2008 KX2",
"2008 KA6",
"2008 KB6",
"2008 KC6",
"2008 KD6",
"2008 KE6",
"2008 KF6",
"2008 KN11",
"2008 KB12",
"2008 LA",
"2008 LB",
"2008 LC",
"2008 LD",
"2008 LE",
"2008 LC2",
"2008 LG2",
"2008 LH2",
"2008 LN16",
"2008 LQ16",
"2008 LW16",
"2008 MZ",
"2008 MG1",
"2008 MP1",
"2008 MQ1",
"2008 MR1",
"2008 MU1",
"2008 MV1",
"2008 NA",
"2008 NB",
"2008 NX",
"2008 NO3",
"2008 NP3",0.193
"2008 NQ3",
"2008 OM",
"2008 ON",
"2008 OO",
"2008 OO1",
"2008 OX1",
"2008 OV2",
"2008 OY2",
"2008 OA6",
"2008 OS7",
"2008 OT7",
"2008 OM8",
"2008 ON8",
"2008 OO8",
"2008 OP8",
"2008 OQ8",
"2008 OX8",
"2008 OC9",
"2008 ON10",
"2008 ON13",
"2008 PE1",
"2008 PF1",
"2008 PF2",
"2008 PG2",
"2008 PH3",
"2008 PJ3",
"2008 PK3",
"2008 PL3",
"2008 PW4",
"2008 PG7",
"2008 PJ9",
"2008 PK9",
"2008 PR9",
"2008 PV16",
"2008 QB",
"2008 QC",
"2008 QZ",
"2008 QA1",
"2008 QC1",
"2008 QM2",
"2008 QU3",
"2008 QS11",0.453
"2008 QT11",
"2008 QU11",
"2008 QV11",
"2008 QW11",
"2008 RT",
"2008 RU",
"2008 RV",
"2008 RW",
"2008 RE1",
"2008 RH1",
"2008 RK1",
"2008 RQ24",
"2008 RR24",
"2008 RS24",
"2008 RT24",
"2008 RW24",
"2008 RX24",
"2008 RZ24",
"2008 RS26",
"2008 RM98",
"2008 RP108",
"2008 SA",
"2008 SC",
"2008 SD",
"2008 SE",
"2008 SP",
"2008 SQ",
"2008 SR",
"2008 SS",
"2008 ST",
"2008 SN1",
"2008 SO1",
"2008 SR1",
"2008 ST1",
"2008 SU1",
"2008 SW1",
"2008 SZ1",
"2008 SP7",
"2008 ST7",
"2008 SV7",
"2008 SW7",
"2008 SF8",
"2008 SV11",
"2008 SH82",
"2008 SJ82",
"2008 SC85",
"2008 SD85",
"2008 SG148",
"2008 SH148",
"2008 SJ148",
"2008 SX148",
"2008 SY148",
"2008 SU150",
"2008 SV150",
"2008 SW150",
"2008 SY150",
"2008 SZ150",
"2008 TA",
"2008 TB",
"2008 TC",
"2008 TD",
"2008 TE",
"2008 TF",
"2008 TG",
"2008 TH",
"2008 TJ",
"2008 TK",
"2008 TL",
"2008 TZ",
"2008 TB1",
"2008 TC1",
"2008 TD1",
"2008 TE1",
"2008 TB2",
"2008 TC2",
"2008 TD2",
"2008 TE2",
"2008 TF2",
"2008 TR2",
"2008 TC3",
"2008 TX3",
"2008 TA4",
"2008 TB4",
"2008 TC4",
"2008 TE4",
"2008 TF9",
"2008 TN9",
"2008 TX9",
"2008 TY9",
"2008 TM10",
"2008 TP10",
"2008 TQ10",
"2008 TR10",
"2008 TS10",
"2008 TV25",
"2008 TL26",
"2008 TM26",
"2008 TP26",
"2008 TQ26",
"2008 TS26",
"2008 TT26",
"2008 TB27",
"2008 TD27",
"2008 TE157",
"2008 TJ157",
"2008 TK157",
"2008 UB",
"2008 UC",
"2008 UD",
"2008 UF",
"2008 UQ",
"2008 UR",
"2008 US",
"2008 UU",
"2008 UV",
"2008 UX",
"2008 UE1",
"2008 UF1",
"2008 UM1",
"2008 UT1",
"2008 UU1",
"2008 UR2",
"2008 US2",
"2008 UT2",
"2008 UL3",
"2008 UM3",
"2008 UN3",
"2008 US4",
"2008 US5",
"2008 UT5",
"2008 UU5",
"2008 UV5",
"2008 UA7",
"2008 UB7",
"2008 UC7",
"2008 UE7",
"2008 UF7",
"2008 UG7",
"2008 UM90",
"2008 UO90",
"2008 UV91",
"2008 UW91",
"2008 UX91",
"2008 UY91",
"2008 UZ91",
"2008 UA92",
"2008 UB92",
"2008 UB95",
"2008 UD95",
"2008 UT95",
"2008 UU95",
"2008 UT99",
"2008 UU99",
"2008 UW99",
"2008 UP100",
"2008 UZ201",
"2008 UA202",
"2008 UB202",
"2008 UC202",
"2008 UD202",
"2008 VC",
"2008 VD",
"2008 VE",
"2008 VH",
"2008 VJ",
"2008 VK",
"2008 VL",
"2008 VM",
"2008 VN",
"2008 VU3",
"2008 VY3",
"2008 VZ3",
"2008 VA4",
"2008 VB4",
"2008 VR4",
"2008 VS4",
"2008 VT4",
"2008 VG14",
"2008 VH14",
"2008 VL14",
"2008 VA15",
"2008 WB",
"2008 WC",
"2008 WD",
"2008 WE",
"2008 WK",
"2008 WL",
"2008 WM",
"2008 WP1",
"2008 WQ1",
"2008 WO2",
"2008 WP2",
"2008 WQ2",
"2008 WY13",
"2008 WA14",
"2008 WB14",
"2008 WC14",
"2008 WD14",
"2008 WE14",
"2008 WF14",
"2008 WG14",
"2008 WH14",
"2008 WJ14",
"2008 WM32",
"2008 WW32",
"2008 WY32",
"2008 WB59",0.407
"2008 WH60",
"2008 WK60",
"2008 WL60",
"2008 WK61",
"2008 WL61",
"2008 WM61",
"2008 WS62",
"2008 WT62",
"2008 WL64",
"2008 WY94",
"2008 WZ94",
"2008 WE96",
"2008 WF96",
"2008 WG96",
"2008 WH96",
"2008 WJ96",
"2008 WK96",
"2008 XF",
"2008 XG",
"2008 XH",
"2008 XK",
"2008 XN",
"2008 XO",
"2008 XP",
"2008 XS",
"2008 XB1",
"2008 XC1",
"2008 XK1",
"2008 XL1",
"2008 XM1",
"2008 XA2",
"2008 XB2",
"2008 XC2",
"2008 XE2",
"2008 XQ2",
"2008 XU2",
"2008 XV2",
"2008 XW2",
"2008 XX2",
"2008 YA",
"2008 YF",
"2008 YJ2",
"2008 YK2",
"2008 YL2",
"2008 YM2",
"2008 YN2",
"2008 YO2",
"2008 YP2",
"2008 YQ2",
"2008 YR2",
"2008 YC3",
"2008 YD3",
"2008 YE3",
"2008 YF3",
"2008 YG3",
"2008 YJ3",
"2008 YG26",
"2008 YM27",
"2008 YN27",
"2008 YO27",
"2008 YQ27",
"2008 YR27",
"2008 YS27",
"2008 YZ28",
"2008 YA29",
"2008 YB29",
"2008 YC29",
"2008 YD29",
"2008 YE29",
"2008 YF29",
"2008 YG29",
"2008 YE30",
"2008 YF30",
"2008 YG30",
"2008 YH30",
"2008 YU30",
"2008 YV32",
"2008 YW32",
"2008 YX32",
"2008 YY32",
"2008 YZ32",0.382
"2008 YC33",
"2009 AK",
"2009 AL",
"2009 AM",
"2009 AN",
"2009 AT",
"2009 AU",
"2009 AL15",
"2009 AC16",
"2009 AD16",
"2009 AE16",
"2009 AF16",
"2009 AG16",
"2009 AH16",
"2009 BB",
"2009 BC",
"2009 BD",
"2009 BE",
"2009 BG",
"2009 BF2",
"2009 BG2",
"2009 BH2",
"2009 BJ2",
"2009 BK2",
"2009 BM2",
"2009 BN2",
"2009 BW2",
"2009 BO5",
"2009 BP5",
"2009 BQ5",
"2009 BR5",
"2009 BS5",
"2009 BU5",
"2009 BA11",
"2009 BC11",
"2009 BD11",
"2009 BG11",
"2009 BH11",
"2009 BC58",
"2009 BD58",
"2009 BE58",
"2009 BF58",
"2009 BG58",
"2009 BH58",
"2009 BK58",
"2009 BL58",
"2009 BM58",
"2009 BN58",
"2009 BO58",
"2009 BA71",
"2009 BK71",
"2009 BD77",
"2009 BD81",
"2009 BE81",
"2009 BF81",
"2009 BG81",
"2009 BH81",
"2009 CD",
"2009 CE",
"2009 CF",
"2009 CG",
"2009 CP",
"2009 CQ",
"2009 CR",
"2009 CS",
"2009 CV",
"2009 CQ1",
"2009 CR1",
"2009 CS1",
"2009 CT1",
"2009 CU1",
"2009 CV1",
"2009 CW1",
"2009 CX1",
"2009 CY1",
"2009 CZ1",
"2009 CA2",
"2009 CC2",
"2009 CD2",
"2009 CR2",
"2009 CX2",
"2009 CZ2",
"2009 CA3",
"2009 CC3",
"2009 CR4",
"2009 CO5",
"2009 CT5",
"2009 CV5",
"2009 DD",
"2009 DV",
"2009 DW",
"2009 DX",
"2009 DA1",
"2009 DB1",
"2009 DC1",
"2009 DE1",
"2009 DF1",
"2009 DL1",
"2009 DO1",
"2009 DR3",
"2009 DN4",
"2009 DO4",
"2009 DP4",
"2009 DQ4",
"2009 DG9",
"2009 DS10",
"2009 DT10",
"2009 DU10",
"2009 DB12",
"2009 DC12",
"2009 DR36",
"2009 DS36",
"2009 DH39",
"2009 DM40",
"2009 DZ42",
"2009 DA43",
"2009 DB43",
"2009 DS43",
"2009 DT43",
"2009 DV43",
"2009 DA45",
"2009 DB45",
"2009 DC45",
"2009 DD45",
"2009 DM45",
"2009 DN45",
"2009 DJ46",
"2009 DL46",
"2009 DO111",
"2009 EA",
"2009 ED",
"2009 EP",
"2009 ER",
"2009 ET",
"2009 EU",
"2009 EW",
"2009 EX",
"2009 EY",
"2009 EZ",
"2009 EA1",
"2009 EC1",
"2009 ED1",
"2009 EE1",
"2009 EF1",
"2009 EH1",
"2009 EJ1",
"2009 EM1",
"2009 EP2",
"2009 EQ2",
"2009 EF3",
"2009 EG3",
"2009 EH3",
"2009 FA",
"2009 FE",
"2009 FF",
"2009 FG",
"2009 FH",
"2009 FJ",
"2009 FK",
"2009 FL",
"2009 FP",
"2009 FQ",
"2009 FR",
"2009 FS",
"2009 FJ1",
"2009 FS4",
"2009 FT4",
"2009 FU4",
"2009 FV4",
"2009 FW4",
"2009 FX4",
"2009 FY4",0.129
"2009 FZ4",
"2009 FA5",
"2009 FB5",
"2009 FX10",
"2009 FY10",
"2009 FZ10",
"2009 FE19",
"2009 FS23",
"2009 FT23",
"2009 FU23",
"2009 FV23",
"2009 FL25",
"2009 FW25",
"2009 FN28",
"2009 FO28",
"2009 FP28",
"2009 FP29",
"2009 FY29",
"2009 FJ30",
"2009 FR30",
"2009 FU30",
"2009 FN32",
"2009 FO32",
"2009 FP32",
"2009 FQ32",
"2009 FR32",
"2009 FS32",
"2009 FT32",
"2009 FF44",
"2009 FG44",
"2009 FH44",
"2009 HB",
"2009 HC",
"2009 HD",
"2009 HE",
"2009 HF",
"2009 HG",
"2009 HR2",
"2009 HS2",
"2009 HT2",
"2009 HV2",
"2009 HW2",
"2009 HA21",
"2009 HB21",
"2009 HC21",
"2009 HD21",
"2009 HE21",
"2009 HF21",
"2009 HG21",
"2009 HH21",
"2009 HJ21",
"2009 HL21",
"2009 HJ36",
"2009 HS44",
"2009 HU44",
"2009 HV44",
"2009 HX51",
"2009 HY51",
"2009 HT58",
"2009 HU58",
"2009 HV58",
"2009 HE60",
"2009 HG60",
"2009 HV67",
"2009 HW67",
"2009 HX67",
"2009 HY67",
"2009 HZ67",
"2009 HK73",
"2009 HM73",
"2009 HU77",
"2009 HV77",
"2009 HD82",
"2009 HF82",
"2009 HM82",
"2009 JA",
"2009 JR",
"2009 JS",
"2009 JE1",
"2009 JF1",
"2009 JG1",
"2009 JK1",
"2009 JM1",
"2009 JG2",
"2009 JL2",
"2009 JM2",
"2009 JQ2",
"2009 JR2",
"2009 KK",
"2009 KL",
"2009 KM",
"2009 KN",
"2009 KY1",
"2009 KV2",
"2009 KW2",
"2009 KD3",
"2009 KE3",
"2009 KO4",
"2009 KQ4",
"2009 KR4",
"2009 KT4",
"2009 KC7",
"2009 KK8",
"2009 KL8",
"2009 KR21",
"2009 KT21",
"2009 KV21",
"2009 LA",
"2009 LD",
"2009 LE",
"2009 LQ",
"2009 LX",
"2009 LQ1",
"2009 LU2",
"2009 LV2",
"2009 LW2",
"2009 MA",
"2009 MD",
"2009 MU",
"2009 MW",
"2009 MX",
"2009 MG1",
"2009 ML1",
"2009 MM1",
"2009 MX6",
"2009 MM8",
"2009 MN8",
"2009 MC9",
"2009 ME9",
"2009 NH",
"2009 NL",
"2009 OC",
"2009 OF",
"2009 OB3",
"2009 OC3",
"2009 OZ4",
"2009 OS5",
"2009 OX5",
"2009 OW6",
"2009 OY7",
"2009 OZ7",
"2009 OP9",
"2009 PC",
"2009 PD",
"2009 PH",
"2009 PN",
"2009 PY",
"2009 PQ1",
"2009 PR1",
"2009 PU1",
"2009 PT2",
"2009 PA3",
"2009 QC",
"2009 QO",
"2009 QR",
"2009 QS",
"2009 QT",
"2009 QW1",
"2009 QG2",
"2009 QH2",
"2009 QJ2",
"2009 QK2",
"2009 QL2",
"2009 QM5",
"2009 QN5",
"2009 QH6",
"2009 QJ6",
"2009 QQ8",
"2009 QR8",
"2009 QJ9",
"2009 QK9",
"2009 QC23",
"2009 QL32",
"2009 QD34",
"2009 QE34",
"2009 QF34",
"2009 QG34",
"2009 QH34",
"2009 QZ34",
"2009 QA35",
"2009 QC35",
"2009 QB36",
"2009 QC36",
"2009 RH",
"2009 RM",
"2009 RN",
"2009 RR",
"2009 RD1",
"2009 RT1",
"2009 RU1",
"2009 RV1",
"2009 RG2",
"2009 RH2",
"2009 RY3",
"2009 RZ3",
"2009 RA4",
"2009 RD4",
"2009 RX4",
"2009 SA",
"2009 SB",
"2009 SD",
"2009 SF",
"2009 SG",
"2009 SH",
"2009 SJ",
"2009 SK",
"2009 SL",
"2009 SM",
"2009 SN",
"2009 SP",0.485
"2009 SQ",
"2009 SS",
"2009 SU",
"2009 SW",
"2009 SY",
"2009 SC1",
"2009 SD1",
"2009 SH1",
"2009 SJ1",
"2009 SL1",
"2009 SM1",
"2009 SN1",
"2009 SW1",
"2009 SE2",
"2009 SF2",
"2009 SH2",
"2009 SJ2",
"2009 SL2",
"2009 SB15",
"2009 SD15",
"2009 SH15",
"2009 SJ15",
"2009 SK15",
"2009 SV17",
