pdes,diameter
154347,
154453,
154555,
154589,1.109
154590,
154631,
154652,
154656,
154658,
154715,
154807,
154988,
154991,
154993,0.828
155110,
155140,
155334,
155336,
155338,
155340,
155341,
159399,
159402,
159454,0.577
159459,
159467,
159495,
159504,
159518,1.784
159533,
159555,
159560,1.156
159608,
159609,
159635,
159677,
159686,1.845
159699,
159856,
159857,3.070
159923,
159928,
159929,
161989,1.9
161995,
161998,
161999,0.458
162000,0.4
162004,
162011,
162015,
162038,1.959
162039,
162058,0.847
162063,
162080,0.777
162082,
162116,0.538
162117,
162120,
162142,
162149,
162157,
162161,
162162,
162168,
162173,
162181,0.729
162183,
162186,
162195,
162196,
162210,
162214,
162215,
162269,1.010
162273,
162361,
162385,
162416,
162421,
162422,
162433,
162452,
162463,1.048
162470,
162472,
162474,
162483,0.906
162510,
162566,4.299
162567,0.335
162581,
162635,
162679,
162687,
162694,
162695,
162698,
162723,
162740,
162741,3.945
162781,
162783,
162825,
162854,
162873,
162882,
162900,
162903,1.086
162911,
162913,
162922,
162926,
162979,
162980,0.790
162998,0.875
163000,
163001,
163014,
163015,
163023,
163026,
163051,
163067,
163070,
163081,
163132,0.460
163191,
163243,1.682
163249,
163250,
163252,
163295,
163335,
163348,
163364,
163373,
163412,
163454,
163667,
163679,
163683,
163691,3.449
163692,
163693,
163694,
163696,
163697,
163732,
163758,
163760,
163818,0.386
163899,
163902,
164120,
164121,1.717
164184,
164201,
164202,
164206,
164207,0.163
164211,
164214,
164215,
164216,
164217,
164221,
164222,
164294,
164341,
164342,
164400,
168044,
168318,0.9
168378,0.841
168791,
169352,0.316
169675,
170013,
170086,
170502,
170891,
170903,
171486,
171576,
171819,
171839,
172034,0.631
172678,
172718,
172722,
172974,
173232,
173561,
173664,
173689,
174050,
174806,
174881,
175114,
175189,
175706,1.196
175729,
175921,
177016,
177049,
177255,
177614,
177651,
178601,
178871,
179806,
180186,
183548,
184266,
184990,2.039
185702,
185716,0.629
185851,0.863
185853,
186822,
186823,
186844,
187026,
187040,
188174,
188452,
189008,
189011,
189040,
189058,
189062,
189173,
189263,
189552,
189630,
189700,
189865,
189973,
190119,
190135,
190161,
190166,1.045
190208,
190491,
190758,
190788,
191094,
192559,
192563,
192642,
193178,
194006,
194126,
194268,1.244
194386,
196068,
196256,
196625,
197588,
198752,
198856,0.742
199003,
199145,
199801,
200754,
200840,
202411,
202435,
202683,
203015,
203217,
203471,
204131,
204232,
205378,
205388,
205744,
206359,
206378,
206910,
207398,
207945,0.423
207970,
208023,
208115,
208565,
208617,
209215,
209924,1.861
210012,
211871,0.411
211914,
212359,
212546,
213053,
213869,
214088,2.423
214869,
215167,
215188,
215442,1.075
215588,0.488
215757,0.780
216115,
216258,
216523,
216707,
216985,
217013,
217390,
217430,
217628,1.4
217796,
217807,
217837,
218017,0.451
218863,1.237
219021,
219071,0.657
219527,
220124,0.609
220839,
220909,
221455,
221787,
221980,0.432
222008,
222073,
222165,
222869,
223456,
224926,
225312,
225416,1.651
225586,
225900,
226198,
226219,
226514,
226554,
228368,
228502,0.302
228587,
229007,
229672,
230089,
230111,
230118,1.166
230420,
230549,
230599,
230979,1.522
231134,
231792,
231937,
232368,
232382,1.123
232691,
234061,2.900
234145,
234341,0.344
