"2018 AH","11","2458120.683977842","2018-Jan-02 04:25","0.00198522854218035","0.00198438862411331","0.00198606845362529","13.7540347550572","13.6561036594439","< 00:01","22.5"
"2017 YD7","2","2458121.527802611","2018-Jan-03 00:40","0.0121573774552856","0.01206272653051","0.0122520225650622","10.5213123006388","10.5004610022414","< 00:01","27.3"
"2018 AK3","3","2458122.600472212","2018-Jan-04 02:25","0.025828332638431","0.025683329487473","0.0259733295422344","7.45194809601672","7.43809170523896","00:01","25.7"
"2018 AY3","2","2458123.717992323","2018-Jan-05 05:14","0.0324057932263547","0.0322446723046283","0.0325669104954515","7.32609015734719","7.3148583283363","00:04","27.0"
"2018 AJ3","3","2458124.010347270","2018-Jan-05 12:15","0.0194750222923686","0.0194340018165162","0.0195160381817589","3.02660289116458","2.98105595944004","00:01","27.7"
"2017 YJ7","5","2458125.589916678","2018-Jan-07 02:09","0.0303443126443402","0.0301084752318914","0.030580129882959","5.66786223682737","5.65234871045747","< 00:01","26.3"
"2017 YK7","1","2458126.303862211","2018-Jan-07 19:18","0.0271751500963516","0.0266748558496688","0.0276754125837065","10.6936424906924","10.6844697091859","00:18","24.4"
"2017 YX4","6","2458126.829414933","2018-Jan-08 07:54","0.0382830939671934","0.0380549576759812","0.0385112230880962","7.26427889637725","7.25469152606078","< 00:01","23.6"
"2017 XT61","7","2458127.352333961","2018-Jan-08 20:27","0.0290465742399135","0.0290447333821164","0.029048415098191","10.7727568104094","10.7642383261846","< 00:01","23.2"
"2018 AR2","4","2458128.203879601","2018-Jan-09 16:54","0.037847291291284","0.037612396515661","0.0380821783528578","7.31992263897862","7.31029861590407","< 00:01","25.5"
"2018 AT18","1","2458128.268727600","2018-Jan-09 18:27","0.0114769608749503","0.0113778743951281","0.0115760443826168","6.74572695490058","6.71122300505891","00:21","27.558"
"2018 AA4","5","2458128.645756310","2018-Jan-10 03:30","0.00906696613524967","0.00904355157010074","0.0090903800609956","10.6078323846545","10.5800933133157","< 00:01","25.9"
"2018 AW11","7","2458129.332357510","2018-Jan-10 19:59","0.0182110582150399","0.0181773359977049","0.0182447796372675","6.55727004315462","6.53491914924422","< 00:01","25.9"
"2018 AU18","2","2458129.398287950","2018-Jan-10 21:34","0.00480013764484578","0.00477618098262158","0.00482409147587986","9.56322980298581","9.50500901503421","00:02","27.5"
"2018 AT2","5","2458129.548897462","2018-Jan-11 01:10","0.00471124313218839","0.00470021586969716","0.00472226930091739","7.2161620182934","7.13735799040964","< 00:01","27.7"
"2018 AE4","11","2458129.919342034","2018-Jan-11 10:04","0.0271704083183105","0.0271518541997618","0.0271889624081847","13.1436630673412","13.1361999015227","< 00:01","24.7"
"2003 UO12","31","2458130.245539588","2018-Jan-11 17:54","0.0265656544289766","0.0265655301823163","0.0265657786756384","10.3139000390994","10.304170913643","< 00:01","23.9"
"2018 AC12","6","2458130.657329961","2018-Jan-12 03:47","0.0342587281469998","0.0341888778157807","0.0343285777418627","7.80434333282709","7.79437133207236","< 00:01","25.4"
"2018 BO5","2","2458131.910129371","2018-Jan-13 09:51","0.0221917939646754","0.0220817168018247","0.0223018693027811","12.1146204223304","12.1047055325978","00:02","26.3"
"2018 BG5","6","2458132.704188757","2018-Jan-14 04:54","0.0291948530033429","0.0291057997731722","0.0292839047539947","8.09417994309266","8.08289664614378","< 00:01","24.0"
"2018 AS2","1","2458132.970736745","2018-Jan-14 11:18","0.002985357931827","0.00297711537795149","0.00299359927287786","7.67530430630066","7.5581257233782","< 00:01","28.6"
"2018 AU2","1","2458133.012098327","2018-Jan-14 12:17","0.00701104781759631","0.00699874099998717","0.00702335426046907","9.2752148012808","9.23415017221772","< 00:01","27.4"
"2018 BB","5","2458133.770676494","2018-Jan-15 06:30","0.0280295978462904","0.0278963144734323","0.0281628781853494","8.90946270644428","8.8987868124332","< 00:01","25.0"
"2018 BW","1","2458134.133733104","2018-Jan-15 15:13","0.00111740110642754","0.00111398854893726","0.00112081307783634","6.86988261717351","6.51354143486402","00:04","28.1"
"2018 AT11","4","2458134.463103856","2018-Jan-15 23:07","0.02779868234828","0.0277021606967825","0.0278952013274661","6.91940379982941","6.90553768348894","< 00:01","25.0"
"2018 BW1","4","2458134.780960683","2018-Jan-16 06:45","0.0222687181367573","0.0222078571455885","0.0223295770701635","6.25140739458633","6.2322381187716","< 00:01","27.1"
"2018 BR1","1","2458135.057018185","2018-Jan-16 13:22","0.000876971192548783","0.000875167813124681","0.000878774259590097","8.86264368930284","8.51292569425923","< 00:01","29.5"
"2018 AM2","3","2458135.147387413","2018-Jan-16 15:32","0.0311457527879976","0.0309396209812175","0.0313518821149119","13.5059367729353","13.4996011300745","< 00:01","25.8"
"2018 BB3","3","2458135.609658866","2018-Jan-17 02:38","0.012223286453962","0.0121874060860069","0.0122591666278926","21.7021816754046","21.6921350199493","< 00:01","25.7"
"2018 AG4","4","2458135.945253633","2018-Jan-17 10:41","0.00360266760079215","0.00359884185681747","0.00360649320448054","9.2130675455625","9.13243906992391","< 00:01","26.1"
"2018 BD","2","2458137.155072092","2018-Jan-18 15:43","0.000261621903906402","0.00026062666927878","0.000262615722680075","10.000145627618","8.92378736507193","< 00:01","30.1"
"2018 AF1","7","2458137.369647544","2018-Jan-18 20:52","0.0318141070838764","0.0316557010790962","0.0319725126502878","24.5545901211624","24.5511790553726","< 00:01","23.0"
"2018 BF3","4","2458137.625091463","2018-Jan-19 03:00","0.00162335881410419","0.00162152109429327","0.00162519646061576","13.4668233227229","13.3443866793807","< 00:01","26.0"
